05:22:37.261 [TLM] --- TELEMETRY START (697 samples) ---
05:22:37.263 [TLM] Time_ms,Dist_mm,X_mm,Y_mm,Yaw_mrad,VelL_mmps,VelR_mmps,LinePos,PidLine,PidLSet,PidRSet,PidLOut,PidROut,Bat_dv,Markers,F
05:22:37.857 [TLM] 35178,758,544,263,1635,2566,2767,0,-105,2705,2494,9400,440,120,288,90
05:22:37.857 [TLM] 35188,785,543,291,1623,2939,2544,0,299,2300,2899,-2156,9038,120,288,90
05:22:37.893 [TLM] 35198,809,541,315,1624,2603,2681,0,-25,2625,2574,6334,2649,120,288,90
05:22:37.894 [TLM] 35208,836,540,342,1613,2810,2625,1,-1140,3740,1459,12000,-12000,120,288,90
05:22:37.927 [TLM] 35218,865,539,370,1598,2717,2653,0,-1,2601,2598,3407,3336,120,288,90
05:22:37.961 [TLM] 35228,891,538,396,1595,2624,2622,0,-5,2605,2594,4225,3475,120,288,90
05:22:37.961 [TLM] 35238,918,538,423,1594,2632,2646,0,8,2591,2608,3591,3238,120,288,90
05:22:37.997 [TLM] 35248,944,537,450,1588,2808,2450,1,-220,2820,2379,4975,1623,120,288,90
05:22:37.997 [TLM] 35258,968,537,473,1569,2520,2644,0,-2,2602,2597,4569,3031,120,288,90
05:22:38.035 [TLM] 35268,996,537,501,1574,2557,2580,1,-622,3222,1977,12000,-5364,120,288,90
05:22:38.035 [TLM] 35278,1023,537,528,1549,2767,2561,0,276,2323,2876,-2377,7513,120,288,90
05:22:38.067 [TLM] 35288,1048,538,553,1542,2559,2559,0,11,2588,2611,4279,3772,120,288,90
05:22:38.101 [TLM] 35298,1072,539,577,1534,2660,2602,0,15,2584,2615,2801,3403,120,288,90
05:22:38.102 [TLM] 35308,1100,540,605,1540,2393,2786,0,-264,2864,2335,10029,-2599,120,288,90
05:22:38.137 [TLM] 35318,1126,541,631,1535,2582,2547,-2,688,1911,3288,-6237,12000,120,288,90
05:22:38.138 [TLM] 35328,1152,541,657,1562,2378,2635,0,1,2598,2601,7148,2495,120,288,90
05:22:38.172 [TLM] 35338,1175,541,680,1566,2599,2562,0,5,2594,2605,4374,3867,120,288,90
05:22:38.173 [TLM] 35348,1201,541,706,1563,2637,2523,0,-1,2601,2598,3923,4366,120,288,90
05:22:38.207 [TLM] 35358,1230,542,735,1557,2637,2584,0,-1,2601,2598,3750,3709,120,288,90
05:22:38.243 [TLM] 35368,1256,542,761,1555,2607,2564,0,-1,2601,2598,3866,3969,120,288,90
05:22:38.244 [TLM] 35378,1283,543,788,1553,2623,2648,0,11,2588,2611,3229,2977,120,288,90
05:22:38.277 [TLM] 35388,1309,543,814,1554,2585,2618,0,2,2597,2602,3702,3171,120,288,90
05:22:38.278 [TLM] 35398,1332,543,838,1554,2620,2631,0,-11,2611,2588,3338,2783,120,16672,90
05:22:38.312 [TLM] 35408,1360,544,866,1539,2869,2131,6,-581,3181,2018,11539,-1927,118,416,90
05:22:38.312 [TLM] 35418,1387,546,892,1460,3283,1912,7,-1126,3726,1473,12000,-6887,118,416,90
05:22:38.346 [TLM] 35428,1411,550,916,1324,4008,862,12,-1149,3749,1450,7144,4986,118,416,90
05:22:38.381 [TLM] 35438,1437,559,940,1149,3769,1354,12,-1092,3692,1507,9100,115,118,416,90
05:22:38.383 [TLM] 35448,1463,572,963,967,3716,1200,14,-2477,5077,122,12000,-12000,118,416,90
05:22:38.419 [TLM] 35458,1486,587,980,757,4358,594,16,-1367,3967,1232,7960,9106,118,416,90
05:22:38.420 [TLM] 35468,1509,606,994,553,4222,711,16,-1308,3908,1291,5782,7936,118,416,90
05:22:38.451 [TLM] 35478,1536,630,1005,335,3423,1212,13,-1103,3703,1496,12000,6114,118,544,90
05:22:38.452 [TLM] 35488,1562,655,1011,194,4127,1522,13,-909,3509,1690,239,5523,118,544,90
05:22:38.487 [TLM] 35498,1589,682,1014,10,3657,1672,12,-1009,3609,1590,7617,2830,118,16928,90
05:22:38.527 [TLM] 35508,1614,707,1012,-150,3582,1296,12,-1152,3752,1447,10443,5492,118,672,90
05:22:38.527 [TLM] 35518,1640,733,1005,-307,3560,1449,11,-773,3373,1826,4746,9516,118,672,90
05:22:38.556 [TLM] 35528,1666,757,995,-448,3861,1430,12,-1155,3755,1444,7580,3763,118,672,90
05:22:38.556 [TLM] 35538,1692,779,982,-598,3777,1459,12,-1146,3746,1453,8619,3695,118,672,90
05:22:38.593 [TLM] 35548,1717,798,966,-750,3685,1214,16,-1912,4512,687,12000,-6148,118,672,90
05:22:38.594 [TLM] 35558,1740,813,949,-913,3938,1255,13,-911,3511,1688,4053,10293,118,672,90
05:22:38.627 [TLM] 35568,1769,829,924,-1088,4035,1352,12,-709,3309,1890,575,11047,118,17056,90
05:22:38.663 [TLM] 35578,1796,839,900,-1255,3937,1422,12,-1152,3752,1447,7677,4264,118,800,90
05:22:38.663 [TLM] 35588,1820,844,877,-1404,2820,1896,6,-544,3144,2055,9944,10432,118,800,90
05:22:38.697 [TLM] 35598,1844,847,852,-1478,2045,2600,0,18,2581,2618,6058,12000,118,800,90
05:22:38.697 [TLM] 35608,1869,849,828,-1481,2162,3080,-5,1290,1309,3890,-9846,12000,118,800,90
05:22:38.733 [TLM] 35618,1895,852,801,-1412,1203,3802,-13,1171,1428,3771,4348,12000,118,800,90
05:22:38.733 [TLM] 35628,1921,858,777,-1258,1019,4072,-18,2144,455,4744,-10449,12000,118,800,90
05:22:38.767 [TLM] 35638,1945,869,755,-1029,610,4423,-15,-140,2740,2459,12000,-5316,118,800,90
05:22:38.802 [TLM] 35648,1969,884,736,-807,1007,4291,-15,891,1708,3491,10501,7881,118,800,90
05:22:38.803 [TLM] 35658,2001,909,716,-556,2062,3795,-8,-593,3193,2006,12000,-10831,118,800,90
05:22:38.839 [TLM] 35668,2024,929,706,-412,1764,3549,-6,581,2018,3181,9474,6028,118,800,90
05:22:38.840 [TLM] 35678,2051,955,697,-276,1994,2578,0,-31,2631,2568,12000,5238,118,800,90
05:22:38.872 [TLM] 35688,2079,982,691,-227,3039,2995,0,-15,2615,2584,4756,244,118,800,90
05:22:38.872 [TLM] 35698,2100,1003,686,-209,2916,1233,10,-2911,5511,-311,12000,-12000,118,800,90
05:22:38.906 [TLM] 35708,2124,1026,680,-269,3611,1359,12,-1155,3755,1444,12000,418,118,800,90
05:22:38.944 [TLM] 35718,2153,1053,671,-420,4004,1026,16,-1441,4041,1158,12000,-687,118,800,90
05:22:38.944 [TLM] 35728,2179,1076,657,-616,4327,859,16,-1542,4142,1057,12000,604,118,800,90
05:22:38.977 [TLM] 35738,2207,1096,639,-840,4449,984,15,-1429,4029,1170,12000,1819,118,800,90
05:22:38.978 [TLM] 35748,2232,1110,618,-1042,4075,1497,12,-1153,3753,1446,10485,1242,118,17184,90
05:22:39.011 [TLM] 35758,2259,1121,594,-1253,3250,1604,6,-563,3163,2036,8214,12000,118,928,90
05:22:39.014 [TLM] 35768,2281,1126,572,-1360,2384,2154,0,2,2597,2602,9513,12000,118,928,90
05:22:39.048 [TLM] 35778,2310,1132,544,-1406,2223,2849,-6,580,2019,3180,-12000,12000,118,928,90
05:22:39.082 [TLM] 35788,2334,1136,520,-1383,1921,3599,-9,1701,898,4301,-11672,12000,118,928,90
05:22:39.083 [TLM] 35798,2358,1141,496,-1280,605,3882,-16,2054,545,4654,-3199,12000,118,928,90
05:22:39.118 [TLM] 35808,2382,1150,475,-1127,628,4358,-22,1219,1380,3819,5955,12000,118,928,90
05:22:39.118 [TLM] 35818,2407,1164,453,-880,-94,4594,-22,2019,580,4619,2595,12000,118,928,90
05:22:39.152 [TLM] 35828,2435,1184,435,-608,774,4655,-16,258,2341,2858,12000,-1451,118,928,90
05:22:39.152 [TLM] 35838,2463,1209,422,-376,1753,3946,-6,478,2121,3078,11486,2628,118,928,90
05:22:39.187 [TLM] 35848,2485,1231,417,-192,2372,2135,4,-1248,3848,1351,12000,-3719,118,928,90
05:22:39.222 [TLM] 35858,2509,1254,413,-112,2817,2113,6,-587,3187,2012,12000,4382,118,928,90
05:22:39.223 [TLM] 35868,2531,1276,411,-91,3518,426,12,-1148,3748,1451,12000,12000,118,928,90
05:22:39.257 [TLM] 35878,2556,1301,408,-125,3405,1380,16,-1450,4050,1149,12000,-1190,118,928,90
05:22:39.258 [TLM] 35888,2580,1325,404,-226,4286,1,24,-3222,5822,-622,12000,-11615,118,928,90
05:22:39.293 [TLM] 35898,2600,1344,398,-387,3859,465,24,-2211,4811,388,12000,-4548,118,928,90
05:22:39.293 [TLM] 35908,2629,1368,383,-638,4600,586,22,-2009,4609,590,12000,-2219,118,928,90
05:22:39.327 [TLM] 35918,2654,1386,366,-891,4661,610,18,-1210,3810,1389,12000,11131,118,928,90
05:22:39.362 [TLM] 35928,2684,1401,340,-1133,4378,1471,12,-558,3158,2041,12000,12000,118,928,90
05:22:39.364 [TLM] 35938,2717,1412,308,-1340,3814,2787,4,236,2363,2836,1948,9568,118,1056,90
05:22:39.399 [TLM] 35948,2741,1416,285,-1456,2967,2662,-1,15,2584,2615,11654,9305,118,1056,90
05:22:39.399 [TLM] 35958,2772,1418,254,-1536,2446,2994,-11,2329,270,4929,-12000,12000,118,1056,90
05:22:39.432 [TLM] 35968,2793,1419,233,-1501,1342,3392,-16,1664,935,4264,-2267,12000,118,1056,90
05:22:39.432 [TLM] 35978,2816,1422,210,-1377,748,3761,-21,1936,663,4536,-1936,12000,118,1056,90
05:22:39.470 [TLM] 35988,2840,1429,187,-1183,543,4281,-22,1857,742,4457,1882,12000,118,1056,90
05:22:39.501 [TLM] 35998,2864,1441,166,-941,248,4492,-23,2036,563,4636,2858,12000,118,1056,90
05:22:39.501 [TLM] 36008,2891,1460,147,-670,654,4641,-16,767,1832,3367,12000,12000,118,1056,90
05:22:39.536 [TLM] 36018,2922,1486,132,-422,1577,4086,-6,561,2038,3161,12000,8982,118,1056,90
05:22:39.537 [TLM] 36028,2949,1512,123,-260,2085,3863,-1,-851,3451,1748,12000,-11474,118,1056,90
05:22:39.571 [TLM] 36038,2977,1540,119,-111,2771,2873,0,-2,2602,2597,12000,9553,118,1056,90
05:22:39.573 [TLM] 36048,3006,1568,117,-38,3165,2911,0,-29,2629,2570,6773,5992,118,1056,90
05:22:39.607 [TLM] 36058,3036,1598,117,18,2339,3177,-2,117,2482,2717,12000,4797,118,1056,90
05:22:39.644 [TLM] 36068,3067,1629,118,81,2863,3079,0,-909,3509,1690,12000,-11282,118,1056,90
05:22:39.645 [TLM] 36078,3094,1656,121,99,2464,3352,-2,179,2420,2779,7804,633,118,1056,90
05:22:39.677 [TLM] 36088,3121,1683,124,111,2782,2679,0,-359,2959,2240,11258,-251,118,1184,90
05:22:39.678 [TLM] 36098,3148,1710,127,93,2797,2628,0,-4,2604,2595,4820,5382,118,1184,90
05:22:39.712 [TLM] 36108,3172,1733,128,63,3114,1972,6,-606,3206,1993,12000,2105,118,1184,90
05:22:39.713 [TLM] 36118,3203,1765,129,-30,3554,2010,6,-580,3180,2019,4402,1933,118,1184,90
05:22:39.747 [TLM] 36128,3228,1789,127,-113,3319,2161,7,-1133,3733,1466,12000,-7568,118,1184,90
05:22:39.782 [TLM] 36138,3256,1817,122,-216,3310,1949,6,-577,3177,2022,5777,3107,118,1184,90
05:22:39.782 [TLM] 36148,3283,1843,115,-312,3275,1927,6,-571,3171,2028,5261,3587,118,1184,90
05:22:39.818 [TLM] 36158,3310,1868,105,-401,3279,2070,6,-719,3319,1880,6720,-365,118,1184,90
05:22:39.819 [TLM] 36168,3336,1892,94,-491,3209,2023,6,-574,3174,2025,5284,2353,118,1184,90
05:22:39.853 [TLM] 36178,3360,1912,82,-571,3145,2057,6,-581,3181,2018,5961,1782,118,1184,90
05:22:39.853 [TLM] 36188,3388,1935,65,-680,3542,1676,6,75,2524,2675,-8453,12000,118,1184,90
05:22:39.887 [TLM] 36198,3414,1954,47,-770,3204,1999,6,-572,3172,2027,4647,3167,118,1184,90
05:22:39.922 [TLM] 36208,3438,1970,30,-844,3185,2030,6,-568,3168,2031,4942,2853,118,1184,90
05:22:39.923 [TLM] 36218,3466,1988,8,-931,3124,2094,6,-582,3182,2017,6014,1838,118,1184,90
05:22:39.956 [TLM] 36228,3489,2002,-10,-993,2958,2247,3,-89,2689,2510,66,7813,118,1184,90
05:22:39.957 [TLM] 36238,3516,2016,-33,-1054,3137,1779,6,-577,3177,2022,6340,6114,118,1184,90
05:22:39.993 [TLM] 36248,3543,2028,-57,-1122,3160,2097,6,-578,3178,2021,6091,1933,118,1184,90
05:22:39.993 [TLM] 36258,3570,2038,-81,-1195,3198,2102,6,-361,2961,2238,2504,4548,118,1184,90
05:22:40.028 [TLM] 36268,3596,2047,-106,-1280,3228,2083,6,-573,3173,2026,4755,1935,118,1184,90
05:22:40.062 [TLM] 36278,3622,2053,-132,-1362,3241,2017,6,-573,3173,2026,4420,2710,118,17568,90
05:22:40.063 [TLM] 36288,3648,2057,-158,-1443,3090,2156,4,250,2349,2850,-6246,12000,118,1312,90
05:22:40.098 [TLM] 36298,3675,2060,-184,-1490,3199,2155,5,-693,3293,1906,11986,-6914,118,1312,90
05:22:40.098 [TLM] 36308,3695,2061,-204,-1548,2246,2259,0,-635,3235,1964,12000,1535,118,17696,90
05:22:40.132 [TLM] 36318,3723,2061,-232,-1563,2811,2067,6,-578,3178,2021,12000,1828,118,1440,90
05:22:40.132 [TLM] 36328,3747,2061,-256,-1624,3284,2023,6,-582,3182,2017,6009,2362,118,1440,90
05:22:40.168 [TLM] 36338,3773,2058,-281,-1704,3240,1987,12,-1949,4549,650,12000,-12000,118,1440,90
05:22:40.203 [TLM] 36348,3801,2052,-309,-1840,3798,1474,12,-1151,3751,1448,10931,-2017,118,1440,90
05:22:40.203 [TLM] 36358,3828,2043,-334,-2017,4006,1285,12,-881,3481,1718,3211,5109,118,1440,90
05:22:40.237 [TLM] 36368,3850,2031,-354,-2170,3785,1381,12,-1479,4079,1120,12000,-3961,118,1440,90
05:22:40.238 [TLM] 36378,3878,2012,-374,-2379,3893,1227,12,-1152,3752,1447,7361,3588,118,1440,90
05:22:40.273 [TLM] 36388,3904,1992,-390,-2563,3800,1274,12,-1148,3748,1451,7784,3760,118,1440,90
05:22:40.273 [TLM] 36398,3928,1971,-402,-2722,3899,1429,3,4000,-1400,6600,-12000,12000,118,1440,90
05:22:40.306 [TLM] 36408,3953,1947,-409,-2868,2704,1993,12,-1150,3750,1449,12000,-424,118,17824,90
05:22:40.343 [TLM] 36418,3978,1923,-414,-2986,3381,1616,12,-1124,3724,1475,12000,3675,118,1568,90
05:22:40.343 [TLM] 36428,4003,1898,-417,-3095,2810,1963,6,-548,3148,2051,9607,10101,118,1568,90
05:22:40.378 [TLM] 36438,4030,1871,-417,-3141,3362,2458,6,-571,3171,2028,3482,2007,118,1568,90
05:22:40.378 [TLM] 36448,4055,1846,-416,-3198,3089,2251,6,-565,3165,2034,7126,3922,118,1568,90
05:22:40.415 [TLM] 36458,4083,1818,-414,-3236,2179,2613,0,-12,2612,2587,8529,8964,118,1568,90
05:22:40.418 [TLM] 36468,4109,1792,-411,-3235,3072,2367,2,497,2102,3097,-8242,12000,118,1568,90
05:22:40.446 [TLM] 36478,4136,1766,-409,-3234,2358,2689,0,-222,2822,2377,10769,3257,118,1568,90
05:22:40.483 [TLM] 36488,4162,1739,-406,-3234,2747,2515,0,492,2107,3092,-3883,12000,118,1568,90
05:22:40.485 [TLM] 36498,4190,1711,-404,-3221,2676,2943,-9,-1733,4333,866,12000,-12000,118,1568,90
05:22:40.518 [TLM] 36508,4211,1691,-402,-3216,2751,2158,0,0,2599,2600,5545,10119,118,50720,90
05:22:40.518 [TLM] 36518,4241,1661,-400,-3235,2499,2925,-3,606,1993,3206,-2028,10544,118,1569,90
05:22:40.552 [TLM] 36528,4265,1637,-398,-3207,2613,2509,0,-9,2609,2590,6427,5178,118,1569,90
05:22:40.553 [TLM] 36538,4293,1609,-396,-3204,2126,3050,-4,-18,2618,2581,9980,974,118,1569,90
05:22:40.587 [TLM] 36548,4315,1587,-395,-3181,2542,2323,0,4,2595,2604,7161,8566,118,1569,90
05:22:40.622 [TLM] 36558,4346,1556,-394,-3173,2641,2638,0,0,2599,2600,5189,4392,118,1569,90
05:22:40.622 [TLM] 36568,4373,1529,-393,-3168,2731,2633,0,1,2598,2601,3560,4034,118,1569,90
05:22:40.656 [TLM] 36578,4400,1502,-392,-3168,2693,2623,0,1,2598,2601,3641,3898,118,1569,90
05:22:40.657 [TLM] 36588,4426,1475,-392,-3170,2699,2657,0,467,2132,3067,-3660,9978,118,1569,90
05:22:40.693 [TLM] 36598,4453,1449,-391,-3166,2612,2655,0,-8,2608,2591,4038,3039,118,1569,90
05:22:40.693 [TLM] 36608,4479,1423,-390,-3161,2647,2626,0,-1,2601,2598,3287,3165,118,1569,90
05:22:40.728 [TLM] 36618,4506,1396,-390,-3160,2654,2629,0,27,2572,2627,2534,3428,118,1569,90
05:22:40.762 [TLM] 36628,4529,1373,-389,-3160,2599,2654,0,-3,2603,2596,3574,2576,118,50721,90
05:22:40.763 [TLM] 36638,4558,1344,-389,-3158,2320,2730,0,8,2591,2608,7663,1254,118,1570,90
05:22:40.799 [TLM] 36648,4581,1321,-388,-3160,2680,2539,0,6,2593,2606,3222,3660,118,1570,90
05:22:40.800 [TLM] 36658,4610,1292,-388,-3170,2611,2615,0,-53,2653,2546,4366,2289,118,1570,90
05:22:40.834 [TLM] 36668,4633,1269,-387,-3170,2623,2599,0,54,2545,2654,2425,4223,118,1570,90
05:22:40.834 [TLM] 36678,4662,1240,-386,-3168,2575,2566,0,4,2595,2604,3862,3698,118,1570,90
05:22:40.868 [TLM] 36688,4686,1216,-386,-3161,2397,2718,0,488,2111,3088,-406,8192,118,1570,90
05:22:40.902 [TLM] 36698,4714,1188,-385,-3169,2649,2538,0,87,2512,2687,2230,4975,118,17954,90
05:22:40.903 [TLM] 36708,4740,1162,-384,-3166,2481,2714,-2,487,2112,3087,-2105,9170,118,1698,90
05:22:40.938 [TLM] 36718,4765,1137,-384,-3120,1661,3279,-6,574,2025,3174,6126,5313,118,1698,90
05:22:40.939 [TLM] 36728,4788,1114,-386,-3040,1508,3424,-13,1152,1447,3752,-3230,12000,118,1698,90
05:22:40.972 [TLM] 36738,4817,1086,-391,-2856,973,4233,-15,1362,1237,3962,277,8484,118,1698,90
05:22:40.974 [TLM] 36748,4839,1065,-400,-2667,1168,3826,-12,1157,1442,3757,2557,9097,118,1698,90
05:22:41.007 [TLM] 36758,4867,1042,-416,-2446,1318,3770,-12,1167,1432,3767,2481,8579,118,1698,90
05:22:41.043 [TLM] 36768,4891,1025,-433,-2275,814,4309,-14,1666,933,4266,1009,9601,118,1698,90
05:22:41.043 [TLM] 36778,4917,1012,-455,-2026,1347,3611,-7,-1324,3924,1275,12000,-12000,118,1698,90
05:22:41.077 [TLM] 36788,4937,1005,-473,-1874,1618,2951,-6,572,2027,3172,12000,7347,118,1698,90
05:22:41.078 [TLM] 36798,4970,997,-506,-1751,2372,3358,-7,1064,1535,3664,-3472,8867,118,1698,90
05:22:41.113 [TLM] 36808,4996,994,-531,-1657,2213,3425,-7,803,1796,3403,1991,5100,118,18082,90
05:22:41.114 [TLM] 36818,5019,993,-555,-1560,1674,3095,-9,860,1739,3460,6454,11830,118,1826,90
05:22:41.147 [TLM] 36828,5046,995,-582,-1456,1711,3515,-10,846,1753,3446,6029,6657,118,1826,90
05:22:41.182 [TLM] 36838,5073,1000,-608,-1350,1811,3453,-12,1564,1035,4164,-6696,12000,118,1826,90
05:22:41.184 [TLM] 36848,5098,1007,-632,-1215,1483,3531,-12,1378,1221,3978,-132,12000,118,1826,90
05:22:41.219 [TLM] 36858,5122,1017,-653,-1057,1039,3941,-15,1444,1155,4044,4028,12000,118,1826,90
05:22:41.219 [TLM] 36868,5150,1034,-676,-870,1148,4285,-15,1446,1153,4046,2530,8797,118,1826,90
05:22:41.252 [TLM] 36878,5176,1053,-694,-669,1171,4132,-15,1396,1203,3996,2931,9064,118,1826,90
05:22:41.254 [TLM] 36888,5200,1073,-707,-499,1649,3534,-12,710,1889,3310,7951,5577,118,1826,90
05:22:41.287 [TLM] 36898,5230,1100,-718,-323,1416,4013,-12,1154,1445,3754,4334,5725,118,1826,90
05:22:41.323 [TLM] 36908,5251,1121,-723,-182,1704,3086,-6,271,2328,2871,12000,2477,118,1826,90
05:22:41.324 [TLM] 36918,5281,1151,-727,-78,1916,3371,-9,1415,1184,4015,-4521,12000,118,18210,90
05:22:41.359 [TLM] 36928,5303,1173,-727,14,2129,3126,-6,570,2029,3170,6927,6476,118,1954,90
05:22:41.360 [TLM] 36938,5330,1200,-726,98,1420,3366,-12,1175,1424,3775,3807,12000,118,1954,90
05:22:41.393 [TLM] 36948,5355,1224,-722,205,1779,3660,-16,2277,322,4877,-12000,12000,118,1954,90
05:22:41.394 [TLM] 36958,5380,1248,-714,381,820,4020,-14,-286,2886,2313,12000,-9887,118,1954,90
05:22:41.429 [TLM] 36968,5404,1270,-703,542,1485,3718,-14,1457,1142,4057,-1337,12000,118,1954,90
05:22:41.463 [TLM] 36978,5434,1293,-685,738,1320,4096,-13,1224,1375,3824,4642,8559,118,1954,90
05:22:41.464 [TLM] 36988,5458,1309,-668,905,1037,4130,-16,1446,1153,4046,4124,11848,118,1954,90
05:22:41.498 [TLM] 36998,5485,1323,-644,1124,1492,3342,-12,1155,1444,3755,3965,12000,118,1954,90
05:22:41.500 [TLM] 37008,5512,1332,-619,1297,1416,3908,-11,450,2149,3050,12000,-1174,118,1954,90
05:22:41.534 [TLM] 37018,5537,1337,-594,1443,1984,3117,-6,574,2025,3174,9033,7737,118,1954,90
05:22:41.534 [TLM] 37028,5564,1339,-567,1531,2163,3123,-6,576,2023,3176,6482,7639,118,1954,90
05:22:41.569 [TLM] 37038,5591,1339,-541,1599,2201,3078,-6,572,2027,3172,5305,8330,118,1954,90
05:22:41.601 [TLM] 37048,5617,1337,-515,1656,2492,2591,-1,-541,3141,2058,12000,-2673,118,1954,90
05:22:41.601 [TLM] 37058,5644,1335,-487,1659,2396,2987,-2,479,2120,3079,4340,7216,118,1954,90
05:22:41.637 [TLM] 37068,5671,1332,-461,1668,2870,2442,0,-9,2609,2590,5632,5918,118,1954,90
05:22:41.638 [TLM] 37078,5696,1330,-436,1639,2770,2442,-16,4000,-1400,6600,-12000,12000,118,51106,90
05:22:41.672 [TLM] 37088,5721,1329,-411,1623,2764,2350,-2,621,1978,3221,-5167,12000,118,1955,90
05:22:41.672 [TLM] 37098,5748,1327,-384,1630,2754,2764,0,-235,2835,2364,7187,2736,118,1955,90
05:22:41.709 [TLM] 37108,5772,1326,-360,1637,2523,2718,0,-11,2611,2588,6239,5929,118,1955,90
05:22:41.743 [TLM] 37118,5800,1324,-332,1635,3090,1897,5,-156,2756,2443,4541,11118,118,1955,90
05:22:41.744 [TLM] 37128,5827,1323,-305,1609,2615,2714,2,-523,3123,2076,12000,-2948,118,1955,90
05:22:41.779 [TLM] 37138,5856,1322,-276,1589,3142,2394,2,125,2474,2725,-2649,8871,118,1955,90
05:22:41.779 [TLM] 37148,5878,1321,-254,1589,2564,2391,5,-938,3538,1661,12000,-6770,118,1955,90
05:22:41.812 [TLM] 37158,5905,1321,-227,1556,2714,2303,0,40,2559,2640,3415,10454,118,18339,90
05:22:41.813 [TLM] 37168,5932,1322,-200,1544,3074,2172,4,-1368,3968,1231,12000,-9573,118,2083,90
05:22:41.848 [TLM] 37178,5959,1324,-173,1470,3388,2104,6,-611,3211,1988,6786,1269,118,2083,90
05:22:41.884 [TLM] 37188,5983,1327,-149,1386,3357,1965,6,-579,3179,2020,5785,3215,118,2083,90
05:22:41.885 [TLM] 37198,6011,1334,-122,1271,3973,1076,12,-1156,3756,1443,8434,3742,118,2083,90
05:22:41.918 [TLM] 37208,6035,1343,-100,1126,3950,1434,16,-2321,4921,278,12000,-12000,118,2083,90
05:22:41.919 [TLM] 37218,6063,1358,-77,900,4044,1169,15,-1420,4020,1179,12000,-1400,118,2083,90
