05:22:37.261 [TLM] --- TELEMETRY START (697 samples) ---
05:22:37.263 [TLM] Time_ms,Dist_mm,X_mm,Y_mm,Yaw_mrad,VelL_mmps,VelR_mmps,LinePos,PidLine,PidLSet,PidRSet,PidLOut,PidROut,Bat_dv,Markers,F
05:22:37.264 [TLM] 34878,18,18,0,-2,1596,1602,0,-13,1701,1674,8534,7958,120,32,90
05:22:37.264 [SMA] Transition: [telemetry] -> [full_stop]
05:22:37.266 [TLM] 34888,41,41,0,-14,2208,1898,0,301,1466,2069,-3785,8188,120,32,90
05:22:37.299 [TLM] 34898,61,61,0,-15,2029,2055,0,0,1847,1848,2650,2563,120,32,90
05:22:37.299 [TLM] 34908,79,79,0,-9,2014,2048,0,-4,1932,1923,3396,2859,120,32,90
05:22:37.331 [TLM] 34918,102,102,0,-11,2080,2058,0,2,2005,2010,3315,3613,120,32,90
05:22:37.332 [TLM] 34928,123,123,-1,-12,2106,2100,0,0,2087,2088,3963,4050,120,32,90
05:22:37.366 [TLM] 34938,144,144,-1,-12,2112,2179,0,-2,2170,2165,4976,4026,120,32,90
05:22:37.401 [TLM] 34948,167,167,-1,-12,2257,2258,0,-3,2251,2244,4163,4006,120,32,90
05:22:37.402 [TLM] 34958,191,191,-2,-14,2344,2301,0,-3,2331,2324,4141,4597,120,32,90
05:22:37.437 [TLM] 34968,215,215,-2,-15,2379,2438,0,3,2404,2411,4685,4131,120,32,90
05:22:37.437 [TLM] 34978,237,237,-2,-14,2463,2491,0,4,2483,2492,4752,4620,120,32,90
05:22:37.471 [TLM] 34988,265,265,-3,-14,2556,2512,0,-1,2569,2566,4752,5354,120,32,90
05:22:37.472 [TLM] 34998,292,292,-3,-14,2672,2643,0,0,2600,2599,3539,4031,120,32,90
05:22:37.506 [TLM] 35008,319,319,-3,-12,2644,2636,0,-5,2605,2594,3827,3911,120,32,90
05:22:37.541 [TLM] 35018,345,345,-4,-12,2682,2647,0,-106,2706,2493,4827,1615,120,16416,90
05:22:37.542 [TLM] 35028,369,369,-4,-17,2516,2667,0,-6,2606,2593,5097,2923,120,160,90
05:22:37.578 [TLM] 35038,398,398,-5,-13,2463,2754,-6,760,1839,3360,-8423,12000,120,160,90
05:22:37.579 [TLM] 35048,419,419,-4,48,1296,3610,-12,1153,1446,3753,-1794,12000,120,160,90
05:22:37.613 [TLM] 35058,449,448,0,227,1188,4076,-12,1155,1444,3755,487,7373,120,160,90
05:22:37.613 [TLM] 35068,472,470,7,404,1193,4041,-13,1337,1262,3937,-982,9221,120,160,90
05:22:37.647 [TLM] 35078,500,494,21,646,805,4259,-15,1426,1173,4026,3060,7883,120,16544,90
05:22:37.685 [TLM] 35088,525,512,39,866,1245,3841,-13,1195,1404,3795,2900,7937,120,288,90
05:22:37.686 [TLM] 35098,551,527,60,1061,1402,3687,-12,1146,1453,3746,2806,8571,120,288,90
05:22:37.718 [TLM] 35108,574,536,81,1221,1385,3757,-9,176,2423,2776,12000,-7151,120,288,90
05:22:37.752 [TLM] 35118,601,543,107,1353,2048,3090,-8,1422,1177,4022,-6493,12000,120,288,90
05:22:37.753 [TLM] 35128,623,546,129,1449,1804,3351,-6,198,2401,2798,12000,-2270,120,288,90
05:22:37.754 [TLM] 35138,652,548,157,1533,2213,3071,-6,564,2035,3164,4756,7092,120,288,90
05:22:37.787 [TLM] 35148,675,548,180,1586,2567,2637,-2,-29,2629,2570,9847,3206,120,288,90
05:22:37.822 [TLM] 35158,703,548,209,1607,2104,3017,-3,-437,3037,2162,12000,-6020,120,288,90
05:22:37.822 [TLM] 35168,730,546,236,1637,2789,2436,0,62,2537,2662,5524,6561,120,288,90
