I (146188) TUNER: --- CSV START ---
I (146188) TUNER: Metadata,PID_0(P:3.60000 I:120.00000 D:0.00000),PID_1(P:3.60000 I:120.00000 D:0.00000)
I (146188) TUNER: Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
I (148788) TUNER: 259,996,1647.86,1500.00,1.25,0.00,1672.59,1500.00,1.29,0.00
I (148798) TUNER: 260,1004,1640.43,1500.00,1.25,0.00,1653.34,1500.00,1.32,0.00
I (148808) TUNER: 261,996,1640.43,1500.00,1.25,0.00,1653.34,1500.00,1.32,0.00
I (148818) TUNER: 262,1004,1649.94,1500.00,1.18,0.00,1640.51,1500.00,1.33,0.00
I (148828) TUNER: 263,996,1649.94,1500.00,1.18,0.00,1640.51,1500.00,1.33,0.00
I (148838) TUNER: 264,1004,1609.44,1500.00,1.30,0.00,1643.99,1500.00,1.29,0.00
I (148848) TUNER: 265,996,1609.44,1500.00,1.30,0.00,1643.99,1500.00,1.29,0.00
I (148858) TUNER: 266,1004,1609.69,1500.00,1.27,0.00,1623.59,1500.00,1.33,0.00
I (148868) TUNER: 267,996,1609.69,1500.00,1.27,0.00,1623.59,1500.00,1.33,0.00
I (148878) TUNER: 268,1004,1623.63,1500.00,1.19,0.00,1600.39,1500.00,1.39,0.00
I (148888) TUNER: 269,996,1623.63,1500.00,1.19,0.00,1600.39,1500.00,1.39,0.00
I (148898) TUNER: 270,1004,1623.62,1500.00,1.16,0.00,1611.90,1500.00,1.32,0.00
I (148908) TUNER: 271,996,1623.62,1500.00,1.16,0.00,1611.90,1500.00,1.32,0.00
I (148918) TUNER: 272,1004,1600.42,1500.00,1.22,0.00,1614.23,1500.00,1.29,0.00
I (148928) TUNER: 273,996,1600.42,1500.00,1.22,0.00,1614.23,1500.00,1.29,0.00
I (148938) TUNER: 274,1004,1589.58,1500.00,1.24,0.00,1605.79,1500.00,1.29,0.00
I (148948) TUNER: 275,996,1589.58,1500.00,1.24,0.00,1605.79,1500.00,1.29,0.00
I (148958) TUNER: 276,1004,1605.83,1500.00,1.15,0.00,1591.30,1500.00,1.32,0.00
I (148968) TUNER: 277,996,1605.83,1500.00,1.15,0.00,1591.30,1500.00,1.32,0.00
I (148978) TUNER: 278,1004,1621.40,1500.00,1.07,0.00,1584.01,1500.00,1.33,0.00
I (148988) TUNER: 279,996,1621.40,1500.00,1.07,0.00,1584.01,1500.00,1.33,0.00
I (148998) TUNER: 280,1004,1592.63,1500.00,1.15,0.00,1597.94,1500.00,1.25,0.00
I (149008) TUNER: 281,996,1592.63,1500.00,1.15,0.00,1597.94,1500.00,1.25,0.00
I (149018) TUNER: 282,1004,1589.37,1500.00,1.14,0.00,1591.89,1500.00,1.25,0.00
I (149028) TUNER: 283,996,1589.37,1500.00,1.14,0.00,1591.89,1500.00,1.25,0.00
I (149038) TUNER: 284,1004,1600.50,1500.00,1.07,0.00,1587.06,1500.00,1.25,0.00
I (149048) TUNER: 285,996,1600.50,1500.00,1.07,0.00,1587.06,1500.00,1.25,0.00
I (149058) TUNER: 286,1004,1573.33,1500.00,1.15,0.00,1580.62,1500.00,1.25,0.00
I (149068) TUNER: 287,996,1573.33,1500.00,1.15,0.00,1580.62,1500.00,1.25,0.00
I (149078) TUNER: 288,1004,1567.06,1500.00,1.16,0.00,1564.30,1500.00,1.30,0.00
I (149088) TUNER: 289,996,1567.06,1500.00,1.16,0.00,1564.30,1500.00,1.30,0.00
I (149098) TUNER: 290,1004,1583.51,1500.00,1.08,0.00,1565.84,1500.00,1.27,0.00
I (149108) TUNER: 291,996,1583.51,1500.00,1.08,0.00,1565.84,1500.00,1.27,0.00
I (149118) TUNER: 292,1004,1576.92,1500.00,1.09,0.00,1582.54,1500.00,1.19,0.00
I (149128) TUNER: 293,996,1576.92,1500.00,1.09,0.00,1582.54,1500.00,1.19,0.00
I (149138) TUNER: 294,1004,1563.05,1500.00,1.12,-0.00,1575.28,1500.00,1.20,0.00
I (149148) TUNER: 295,996,1563.05,1500.00,1.12,-0.00,1575.28,1500.00,1.20,0.00
I (149158) TUNER: 296,1004,1561.41,1500.00,1.11,-0.00,1561.75,1500.00,1.24,0.00
I (149168) TUNER: 297,996,1561.41,1500.00,1.11,-0.00,1561.75,1500.00,1.24,0.00
I (149178) TUNER: 298,1004,1554.08,1500.00,1.13,-0.00,1553.49,1500.00,1.25,0.00
I (149188) TUNER: 299,996,1554.08,1500.00,1.13,-0.00,1553.49,1500.00,1.25,0.00
I (149198) TUNER: 300,1004,1549.94,1500.00,1.13,-0.00,1542.60,1500.00,1.28,0.00
I (149208) TUNER: 301,996,1549.94,1500.00,1.13,-0.00,1542.60,1500.00,1.28,0.00
I (149218) TUNER: 302,1004,1539.75,1500.00,1.16,-0.00,1538.17,1500.00,1.29,0.00
I (149228) TUNER: 303,996,1539.75,1500.00,1.16,-0.00,1538.17,1500.00,1.29,0.00
I (149238) TUNER: 304,1004,1537.62,1500.00,1.16,-0.00,1548.38,1500.00,1.24,0.00
I (149248) TUNER: 305,996,1537.62,1500.00,1.16,-0.00,1548.38,1500.00,1.24,0.00
I (149258) TUNER: 306,1004,1518.73,1500.00,1.22,-0.00,1555.69,1500.00,1.20,0.00
I (149268) TUNER: 307,996,1518.73,1500.00,1.22,-0.00,1555.69,1500.00,1.20,0.00
I (149278) TUNER: 308,1004,1507.05,1500.00,1.26,-0.00,1551.22,1500.00,1.21,0.00
I (149288) TUNER: 309,996,1507.05,1500.00,1.26,-0.00,1551.22,1500.00,1.21,0.00
I (149298) TUNER: 310,1004,1520.91,1500.00,1.20,-0.00,1537.34,1500.00,1.25,0.00
I (149308) TUNER: 311,996,1520.91,1500.00,1.20,-0.00,1537.34,1500.00,1.25,0.00
I (149318) TUNER: 312,1004,1551.75,1500.00,1.08,-0.00,1542.56,1500.00,1.22,0.00
I (149328) TUNER: 313,996,1551.75,1500.00,1.08,-0.00,1542.56,1500.00,1.22,0.00
I (149338) TUNER: 314,1004,1529.17,1500.00,1.16,-0.00,1557.04,1500.00,1.15,0.00
I (149348) TUNER: 315,996,1529.17,1500.00,1.16,-0.00,1557.04,1500.00,1.15,0.00
I (149358) TUNER: 316,1004,1525.72,1500.00,1.16,-0.00,1540.28,1500.00,1.20,-0.00
I (149368) TUNER: 317,996,1525.72,1500.00,1.16,-0.00,1540.28,1500.00,1.20,-0.00
I (149378) TUNER: 318,1004,1504.91,1500.00,1.24,-0.00,1535.46,1500.00,1.21,-0.00
I (149388) TUNER: 319,996,1504.91,1500.00,1.24,-0.00,1535.46,1500.00,1.21,-0.00
I (149398) TUNER: 320,1004,1484.83,1500.00,1.31,-0.00,1529.89,1500.00,1.22,-0.00
I (149408) TUNER: 321,996,1484.83,1500.00,1.31,-0.00,1529.89,1500.00,1.22,-0.00
I (149418) TUNER: 322,1004,1503.99,1500.00,1.24,-0.00,1486.77,1500.00,1.38,-0.00
I (149428) TUNER: 323,996,1503.99,1500.00,1.24,-0.00,1486.77,1500.00,1.38,-0.00
I (149438) TUNER: 324,1004,1521.89,1500.00,1.17,-0.00,1490.94,1500.00,1.37,-0.00
I (149448) TUNER: 325,996,1521.89,1500.00,1.17,-0.00,1490.94,1500.00,1.37,-0.00
I (149458) TUNER: 326,1004,1496.70,1500.00,1.26,-0.00,1510.59,1500.00,1.30,-0.00
I (149468) TUNER: 327,996,1496.70,1500.00,1.26,-0.00,1510.59,1500.00,1.30,-0.00
I (149478) TUNER: 328,1004,1494.58,1500.00,1.27,-0.00,1486.80,1500.00,1.38,-0.00
I (149488) TUNER: 329,996,1494.58,1500.00,1.27,-0.00,1486.80,1500.00,1.38,-0.00
I (149498) TUNER: 330,1004,1505.77,1500.00,1.23,-0.00,1481.51,1500.00,1.41,-0.00
I (149508) TUNER: 331,996,1505.77,1500.00,1.23,-0.00,1481.51,1500.00,1.41,-0.00
I (149518) TUNER: 332,1004,1478.65,1500.00,1.33,-0.00,1498.75,1500.00,1.35,-0.00
I (149528) TUNER: 333,996,1478.65,1500.00,1.33,-0.00,1498.75,1500.00,1.35,-0.00
I (149538) TUNER: 334,1004,1487.02,1500.00,1.31,-0.00,1480.76,1500.00,1.42,-0.00
I (149548) TUNER: 335,996,1487.02,1500.00,1.31,-0.00,1480.76,1500.00,1.42,-0.00
I (149558) TUNER: 336,1004,1509.17,1500.00,1.22,-0.00,1480.98,1500.00,1.42,0.00
I (149568) TUNER: 337,996,1509.17,1500.00,1.22,-0.00,1480.98,1500.00,1.42,0.00
I (149578) TUNER: 338,1004,1491.68,1500.00,1.29,-0.00,1495.75,1500.00,1.37,0.00
I (149588) TUNER: 339,996,1491.68,1500.00,1.29,-0.00,1495.75,1500.00,1.37,0.00
I (149598) TUNER: 340,1004,1485.41,1500.00,1.32,-0.00,1482.66,1500.00,1.42,0.00
I (149608) TUNER: 341,996,1485.41,1500.00,1.32,-0.00,1482.66,1500.00,1.42,0.00
I (149618) TUNER: 342,1004,1496.72,1500.00,1.28,-0.00,1485.93,1500.00,1.41,0.00
I (149628) TUNER: 343,996,1496.72,1500.00,1.28,-0.00,1485.93,1500.00,1.41,0.00
I (149638) TUNER: 344,1004,1471.41,1500.00,1.37,-0.00,1497.99,1500.00,1.37,0.00
I (149648) TUNER: 345,996,1471.41,1500.00,1.37,-0.00,1497.99,1500.00,1.37,0.00
I (149658) TUNER: 346,1004,1483.80,1500.00,1.33,-0.00,1481.01,1500.00,1.43,0.00
I (149668) TUNER: 347,996,1483.80,1500.00,1.33,-0.00,1481.01,1500.00,1.43,0.00
I (149678) TUNER: 348,1004,1503.16,1500.00,1.26,-0.00,1469.15,1500.00,1.48,0.00
I (149688) TUNER: 349,996,1503.16,1500.00,1.26,-0.00,1469.15,1500.00,1.48,0.00
I (149698) TUNER: 350,1004,1478.28,1500.00,1.36,-0.00,1500.03,1500.00,1.37,0.00
I (149708) TUNER: 351,996,1478.28,1500.00,1.36,-0.00,1500.03,1500.00,1.37,0.00
I (149718) TUNER: 352,1004,1485.00,1500.00,1.34,-0.00,1495.53,1500.00,1.39,0.00
I (149728) TUNER: 353,996,1485.00,1500.00,1.34,-0.00,1495.53,1500.00,1.39,0.00
I (149738) TUNER: 354,1004,1498.11,1500.00,1.29,-0.00,1483.34,1500.00,1.44,0.00
I (149748) TUNER: 355,996,1498.11,1500.00,1.29,-0.00,1483.34,1500.00,1.44,0.00
I (149758) TUNER: 356,1004,1463.07,1500.00,1.42,-0.00,1487.33,1500.00,1.43,0.00
I (149768) TUNER: 357,996,1463.07,1500.00,1.42,-0.00,1487.33,1500.00,1.43,0.00
I (149778) TUNER: 358,1004,1469.40,1500.00,1.41,-0.00,1458.74,1500.00,1.54,0.00
I (149788) TUNER: 359,996,1469.40,1500.00,1.41,-0.00,1458.74,1500.00,1.54,0.00
I (149798) TUNER: 360,1004,1478.76,1500.00,1.38,-0.00,1463.36,1500.00,1.53,0.00
I (149808) TUNER: 361,996,1478.76,1500.00,1.38,-0.00,1463.36,1500.00,1.53,0.00
I (149818) TUNER: 362,1004,1462.19,1500.00,1.45,-0.00,1488.53,1500.00,1.44,0.00
I (149828) TUNER: 363,996,1462.19,1500.00,1.45,-0.00,1488.53,1500.00,1.44,0.00
I (149838) TUNER: 364,1004,1460.96,1500.00,1.46,-0.00,1475.16,1500.00,1.50,0.00
I (149848) TUNER: 365,996,1460.96,1500.00,1.46,-0.00,1475.16,1500.00,1.50,0.00
I (149858) TUNER: 366,1004,1476.30,1500.00,1.41,-0.00,1481.65,1500.00,1.48,0.00
I (149868) TUNER: 367,996,1476.30,1500.00,1.41,-0.00,1481.65,1500.00,1.48,0.00
I (149878) TUNER: 368,1004,1442.19,1500.00,1.55,-0.00,1495.43,1500.00,1.43,0.00
I (149888) TUNER: 369,996,1442.19,1500.00,1.55,-0.00,1495.43,1500.00,1.43,0.00
I (149898) TUNER: 370,1004,1463.00,1500.00,1.48,0.00,1477.25,1500.00,1.50,0.00
I (149908) TUNER: 371,996,1463.00,1500.00,1.48,0.00,1477.25,1500.00,1.50,0.00
I (149918) TUNER: 372,1004,1504.56,1500.00,1.33,-0.00,1479.02,1500.00,1.50,0.00
I (149928) TUNER: 373,996,1504.56,1500.00,1.33,-0.00,1479.02,1500.00,1.50,0.00
I (149938) TUNER: 374,1004,1475.10,1500.00,1.45,0.00,1499.34,1500.00,1.43,0.00
I (149948) TUNER: 375,996,1475.10,1500.00,1.45,0.00,1499.34,1500.00,1.43,0.00
I (149958) TUNER: 376,1004,1478.17,1500.00,1.44,0.00,1495.84,1500.00,1.44,0.00
I (149968) TUNER: 377,996,1478.17,1500.00,1.44,0.00,1495.84,1500.00,1.44,0.00
I (149978) TUNER: 378,1004,1490.07,1500.00,1.40,0.00,1486.16,1500.00,1.48,0.00
I (149988) TUNER: 379,996,1490.07,1500.00,1.40,0.00,1486.16,1500.00,1.48,0.00
I (149998) TUNER: 380,1004,1444.61,1500.00,1.58,0.00,1481.00,1500.00,1.50,0.00
I (150008) TUNER: 381,996,1444.61,1500.00,1.58,0.00,1481.00,1500.00,1.50,0.00
I (150018) TUNER: 382,1004,1456.35,1500.00,1.54,0.00,1450.24,1500.00,1.62,0.00
I (150028) TUNER: 383,996,1456.35,1500.00,1.54,0.00,1450.24,1500.00,1.62,0.00
I (150038) TUNER: 384,1004,1482.06,1500.00,1.46,0.00,1455.70,1500.00,1.61,0.00
I (150048) TUNER: 385,996,1482.06,1500.00,1.46,0.00,1455.70,1500.00,1.61,0.00
I (150058) TUNER: 386,1004,1471.70,1500.00,1.50,0.00,1483.26,1500.00,1.52,0.00
I (150068) TUNER: 387,996,1471.70,1500.00,1.50,0.00,1483.26,1500.00,1.52,0.00
I (150078) TUNER: 388,1004,1473.73,1500.00,1.50,0.00,1475.24,1500.00,1.55,0.00
I (150088) TUNER: 389,996,1473.73,1500.00,1.50,0.00,1475.24,1500.00,1.55,0.00
I (150098) TUNER: 390,1004,1489.09,1500.00,1.45,0.00,1469.69,1500.00,1.58,0.00
I (150108) TUNER: 391,996,1489.09,1500.00,1.45,0.00,1469.69,1500.00,1.58,0.00
I (150118) TUNER: 392,1004,1467.02,1500.00,1.53,0.00,1480.70,1500.00,1.55,0.00
I (150128) TUNER: 393,996,1467.02,1500.00,1.53,0.00,1480.70,1500.00,1.55,0.00
I (150138) TUNER: 394,1004,1476.85,1500.00,1.50,0.00,1474.91,1500.00,1.57,0.00
I (150148) TUNER: 395,996,1476.85,1500.00,1.50,0.00,1474.91,1500.00,1.57,0.00
I (150158) TUNER: 396,1004,1501.04,1500.00,1.42,0.00,1466.85,1500.00,1.61,0.00
I (150168) TUNER: 397,996,1501.04,1500.00,1.42,0.00,1466.85,1500.00,1.61,0.00
I (150178) TUNER: 398,1004,1483.45,1500.00,1.48,0.00,1487.02,1500.00,1.54,0.00
I (150188) TUNER: 399,996,1483.45,1500.00,1.48,0.00,1487.02,1500.00,1.54,0.00
I (150198) TUNER: 400,1004,1478.83,1500.00,1.51,0.00,1479.11,1500.00,1.57,0.00
I (150208) TUNER: 401,996,1478.83,1500.00,1.51,0.00,1479.11,1500.00,1.57,0.00
I (150218) TUNER: 402,1004,1495.75,1500.00,1.45,0.00,1470.21,1500.00,1.61,0.00
I (150228) TUNER: 403,996,1495.75,1500.00,1.45,0.00,1470.21,1500.00,1.61,0.00
I (150238) TUNER: 404,1004,1478.36,1500.00,1.51,0.00,1475.97,1500.00,1.60,0.00
I (150248) TUNER: 405,996,1478.36,1500.00,1.51,0.00,1475.97,1500.00,1.60,0.00
I (150258) TUNER: 406,1004,1476.48,1500.00,1.53,0.00,1465.97,1500.00,1.64,0.00
I (150268) TUNER: 407,996,1476.48,1500.00,1.53,0.00,1465.97,1500.00,1.64,0.00
I (150278) TUNER: 408,1004,1499.02,1500.00,1.45,0.00,1478.59,1500.00,1.60,0.00
I (150288) TUNER: 409,996,1499.02,1500.00,1.45,0.00,1478.59,1500.00,1.60,0.00
I (150298) TUNER: 410,1004,1474.97,1500.00,1.54,0.00,1496.42,1500.00,1.54,0.00
I (150308) TUNER: 411,996,1474.97,1500.00,1.54,0.00,1496.42,1500.00,1.54,0.00
I (150318) TUNER: 412,1004,1472.90,1500.00,1.55,0.00,1485.77,1500.00,1.58,0.00
I (150328) TUNER: 413,996,1472.90,1500.00,1.55,0.00,1485.77,1500.00,1.58,0.00
I (150338) TUNER: 414,1004,1472.11,1500.00,1.56,0.00,1475.53,1500.00,1.62,0.00
I (150348) TUNER: 415,996,1472.11,1500.00,1.56,0.00,1475.53,1500.00,1.62,0.00
I (150358) TUNER: 416,1004,1463.75,1500.00,1.60,0.00,1482.80,1500.00,1.60,0.00
I (150368) TUNER: 417,996,1463.75,1500.00,1.60,0.00,1482.80,1500.00,1.60,0.00
I (150378) TUNER: 418,1004,1465.64,1500.00,1.60,0.00,1469.72,1500.00,1.66,0.00
I (150388) TUNER: 419,996,1465.64,1500.00,1.60,0.00,1469.72,1500.00,1.66,0.00
I (150398) TUNER: 420,1004,1482.62,1500.00,1.54,0.00,1473.00,1500.00,1.65,0.00
I (150408) TUNER: 421,996,1482.62,1500.00,1.54,0.00,1473.00,1500.00,1.65,0.00
I (150418) TUNER: 422,1004,1471.30,1500.00,1.59,0.00,1485.93,1500.00,1.61,0.00
I (150428) TUNER: 423,996,1471.30,1500.00,1.59,0.00,1485.93,1500.00,1.61,0.00
I (150438) TUNER: 424,1004,1463.95,1500.00,1.63,0.00,1492.84,1500.00,1.58,0.00
I (150448) TUNER: 425,996,1463.95,1500.00,1.63,0.00,1492.84,1500.00,1.58,0.00
I (150458) TUNER: 426,1004,1475.26,1500.00,1.59,0.00,1494.08,1500.00,1.58,0.00
I (150468) TUNER: 427,996,1475.26,1500.00,1.59,0.00,1494.08,1500.00,1.58,0.00
I (150478) TUNER: 428,1004,1464.55,1500.00,1.64,0.00,1487.33,1500.00,1.61,0.00
I (150488) TUNER: 429,996,1464.55,1500.00,1.64,0.00,1487.33,1500.00,1.61,0.00
I (150498) TUNER: 430,1004,1473.16,1500.00,1.61,0.00,1487.09,1500.00,1.61,0.00
I (150508) TUNER: 431,996,1473.16,1500.00,1.61,0.00,1487.09,1500.00,1.61,0.00
I (150518) TUNER: 432,1004,1507.53,1500.00,1.49,0.00,1493.77,1500.00,1.59,0.00
I (150528) TUNER: 433,996,1507.53,1500.00,1.49,0.00,1493.77,1500.00,1.59,0.00
I (150538) TUNER: 434,1004,1505.83,1500.00,1.49,0.00,1493.10,1500.00,1.59,0.00
I (150548) TUNER: 435,996,1505.83,1500.00,1.49,0.00,1493.10,1500.00,1.59,0.00
I (150558) TUNER: 436,1004,1483.85,1500.00,1.58,0.00,1506.31,1500.00,1.55,0.00
I (150568) TUNER: 437,996,1483.85,1500.00,1.58,0.00,1506.31,1500.00,1.55,0.00
I (150578) TUNER: 438,1004,1486.02,1500.00,1.57,0.00,1496.26,1500.00,1.58,0.00
I (150588) TUNER: 439,996,1486.02,1500.00,1.57,0.00,1496.26,1500.00,1.58,0.00
I (150598) TUNER: 440,1004,1471.44,1500.00,1.63,0.00,1472.75,1500.00,1.67,0.00
I (150608) TUNER: 441,996,1471.44,1500.00,1.63,0.00,1472.75,1500.00,1.67,0.00
I (150618) TUNER: 442,1004,1487.26,1500.00,1.58,0.00,1463.40,1500.00,1.72,0.00
I (150628) TUNER: 443,996,1487.26,1500.00,1.58,0.00,1463.40,1500.00,1.72,0.00
I (150638) TUNER: 444,1004,1503.35,1500.00,1.52,0.00,1480.83,1500.00,1.66,0.00
I (150648) TUNER: 445,996,1503.35,1500.00,1.52,0.00,1480.83,1500.00,1.66,0.00
I (150658) TUNER: 446,1004,1505.92,1500.00,1.51,0.00,1471.58,1500.00,1.70,0.00
I (150668) TUNER: 447,996,1505.92,1500.00,1.51,0.00,1471.58,1500.00,1.70,0.00
I (150678) TUNER: 448,1004,1492.51,1500.00,1.56,0.00,1491.67,1500.00,1.63,0.00
I (150688) TUNER: 449,996,1492.51,1500.00,1.56,0.00,1491.67,1500.00,1.63,0.00
I (150698) TUNER: 450,1004,1492.95,1500.00,1.56,0.00,1493.14,1500.00,1.62,0.00
I (150708) TUNER: 451,996,1492.95,1500.00,1.56,0.00,1493.14,1500.00,1.62,0.00
I (150718) TUNER: 452,1004,1500.17,1500.00,1.53,0.00,1485.72,1500.00,1.65,0.00
I (150728) TUNER: 453,996,1500.17,1500.00,1.53,0.00,1485.72,1500.00,1.65,0.00
I (150738) TUNER: 454,1004,1498.22,1500.00,1.54,0.00,1486.66,1500.00,1.65,0.00
I (150748) TUNER: 455,996,1498.22,1500.00,1.54,0.00,1486.66,1500.00,1.65,0.00
I (150758) TUNER: 456,1004,1499.24,1500.00,1.54,0.00,1484.83,1500.00,1.66,0.00
I (150768) TUNER: 457,996,1499.24,1500.00,1.54,0.00,1484.83,1500.00,1.66,0.00
I (150778) TUNER: 458,1004,1511.22,1500.00,1.49,0.00,1477.36,1500.00,1.70,0.00
I (150788) TUNER: 459,996,1511.22,1500.00,1.49,0.00,1477.36,1500.00,1.70,0.00
I (150798) TUNER: 460,1004,1497.61,1500.00,1.54,0.00,1493.72,1500.00,1.64,0.00
I (150808) TUNER: 461,996,1497.61,1500.00,1.54,0.00,1493.72,1500.00,1.64,0.00
I (150818) TUNER: 462,1004,1494.45,1500.00,1.55,0.00,1502.50,1500.00,1.61,0.00
I (150828) TUNER: 463,996,1494.45,1500.00,1.55,0.00,1502.50,1500.00,1.61,0.00
I (150838) TUNER: 464,1004,1509.97,1500.00,1.50,0.00,1494.07,1500.00,1.64,0.00
I (150848) TUNER: 465,996,1509.97,1500.00,1.50,0.00,1494.07,1500.00,1.64,0.00
I (150858) TUNER: 466,1004,1519.80,1500.00,1.45,0.00,1489.91,1500.00,1.66,0.00
I (150868) TUNER: 467,996,1519.80,1500.00,1.45,0.00,1489.91,1500.00,1.66,0.00
I (150878) TUNER: 468,1004,1483.00,1500.00,1.59,0.00,1502.89,1500.00,1.61,0.00
I (150888) TUNER: 469,996,1483.00,1500.00,1.59,0.00,1502.89,1500.00,1.61,0.00
I (150898) TUNER: 470,1004,1505.10,1500.00,1.51,0.00,1500.40,1500.00,1.62,0.00
I (150908) TUNER: 471,996,1505.10,1500.00,1.51,0.00,1500.40,1500.00,1.62,0.00
I (150918) TUNER: 472,1004,1504.74,1500.00,1.51,0.00,1501.84,1500.00,1.61,0.00
I (150928) TUNER: 473,996,1504.74,1500.00,1.51,0.00,1501.84,1500.00,1.61,0.00
I (150938) TUNER: 474,1004,1480.40,1500.00,1.60,0.00,1496.98,1500.00,1.63,0.00
I (150948) TUNER: 475,996,1480.40,1500.00,1.60,0.00,1496.98,1500.00,1.63,0.00
I (150958) TUNER: 476,1004,1503.02,1500.00,1.52,0.00,1481.92,1500.00,1.69,0.00
I (150968) TUNER: 477,996,1503.02,1500.00,1.52,0.00,1481.92,1500.00,1.69,0.00
I (150978) TUNER: 478,1004,1510.81,1500.00,1.49,0.00,1481.04,1500.00,1.70,0.00
I (150988) TUNER: 479,996,1510.81,1500.00,1.49,0.00,1481.04,1500.00,1.70,0.00
I (150998) TUNER: 480,1004,1480.10,1500.00,1.61,0.00,1506.11,1500.00,1.60,0.00
I (151008) TUNER: 481,996,1480.10,1500.00,1.61,0.00,1506.11,1500.00,1.60,0.00
I (151018) TUNER: 482,1004,1481.30,1500.00,1.61,0.00,1491.80,1500.00,1.66,0.00
I (151028) TUNER: 483,996,1481.30,1500.00,1.61,0.00,1491.80,1500.00,1.66,0.00
I (151038) TUNER: 484,1004,1489.14,1500.00,1.58,0.00,1502.69,1500.00,1.62,0.00
I (151048) TUNER: 485,996,1489.14,1500.00,1.58,0.00,1502.69,1500.00,1.62,0.00
I (151058) TUNER: 486,1004,1467.06,1500.00,1.67,0.00,1521.71,1500.00,1.54,0.00
I (151068) TUNER: 487,996,1467.06,1500.00,1.67,0.00,1521.71,1500.00,1.54,0.00
I (151078) TUNER: 488,1004,1494.07,1500.00,1.57,0.00,1493.98,1500.00,1.65,0.00
I (151088) TUNER: 489,996,1494.07,1500.00,1.57,0.00,1493.98,1500.00,1.65,0.00
I (151098) TUNER: 490,1004,1529.41,1500.00,1.44,0.00,1501.00,1500.00,1.62,0.00
I (151108) TUNER: 491,996,1529.41,1500.00,1.44,0.00,1501.00,1500.00,1.62,0.00
I (151118) TUNER: 492,1004,1506.15,1500.00,1.52,0.00,1526.37,1500.00,1.52,0.00
I (151128) TUNER: 493,996,1506.15,1500.00,1.52,0.00,1526.37,1500.00,1.52,0.00
I (151138) TUNER: 494,1004,1503.86,1500.00,1.53,0.00,1511.45,1500.00,1.57,0.00
I (151148) TUNER: 495,996,1503.86,1500.00,1.53,0.00,1511.45,1500.00,1.57,0.00
I (151158) TUNER: 496,1004,1522.65,1500.00,1.45,0.00,1502.09,1500.00,1.61,0.00
I (151168) TUNER: 497,996,1522.65,1500.00,1.45,0.00,1502.09,1500.00,1.61,0.00
I (151178) TUNER: 498,1004,1472.39,1500.00,1.64,0.00,1508.34,1500.00,1.58,0.00
I (151188) TUNER: 499,996,1472.39,1500.00,1.64,0.00,1508.34,1500.00,1.58,0.00
I (151198) TUNER: 500,1004,1483.73,1500.00,1.60,0.00,1477.27,1500.00,1.70,0.00
I (151208) TUNER: 501,996,1483.73,1500.00,1.60,0.00,1477.27,1500.00,1.70,0.00
I (151218) TUNER: 502,1004,1513.41,1500.00,1.49,0.00,1485.91,1500.00,1.67,0.00
I (151228) TUNER: 503,996,1513.41,1500.00,1.49,0.00,1485.91,1500.00,1.67,0.00
I (151238) TUNER: 504,1004,1498.51,1500.00,1.55,0.00,1496.26,1500.00,1.64,0.00
I (151248) TUNER: 505,996,1498.51,1500.00,1.55,0.00,1496.26,1500.00,1.64,0.00
I (151258) TUNER: 506,1004,1489.16,1500.00,1.58,0.00,1488.22,1500.00,1.67,0.00
I (151268) TUNER: 507,996,1489.16,1500.00,1.58,0.00,1488.22,1500.00,1.67,0.00
I (151278) TUNER: 508,1004,1512.60,1500.00,1.50,0.00,1498.11,1500.00,1.63,0.00
I (151288) TUNER: 509,996,1512.60,1500.00,1.50,0.00,1498.11,1500.00,1.63,0.00
I (151298) TUNER: 510,1004,1505.59,1500.00,1.52,0.00,1515.47,1500.00,1.57,0.00
I (151308) TUNER: 511,996,1505.59,1500.00,1.52,0.00,1515.47,1500.00,1.57,0.00
I (151318) TUNER: 512,1004,1506.85,1500.00,1.52,0.00,1501.87,1500.00,1.61,0.00
I (151328) TUNER: 513,996,1506.85,1500.00,1.52,0.00,1501.87,1500.00,1.61,0.00
I (151338) TUNER: 514,1004,1530.19,1500.00,1.42,0.00,1492.71,1500.00,1.65,0.00
I (151348) TUNER: 515,996,1530.19,1500.00,1.42,0.00,1492.71,1500.00,1.65,0.00
I (151358) TUNER: 516,1004,1520.52,1500.00,1.45,0.00,1506.85,1500.00,1.60,0.00
I (151368) TUNER: 517,996,1520.52,1500.00,1.45,0.00,1506.85,1500.00,1.60,0.00
I (151378) TUNER: 518,1004,1495.60,1500.00,1.54,0.00,1511.30,1500.00,1.58,0.00
I (151388) TUNER: 519,996,1495.60,1500.00,1.54,0.00,1511.30,1500.00,1.58,0.00
I (151398) TUNER: 520,1004,1504.01,1500.00,1.51,0.00,1505.40,1500.00,1.60,0.00
I (151408) TUNER: 521,996,1504.01,1500.00,1.51,0.00,1505.40,1500.00,1.60,0.00
I (151418) TUNER: 522,1004,1509.02,1500.00,1.49,0.00,1508.42,1500.00,1.59,0.00
I (151428) TUNER: 523,996,1509.02,1500.00,1.49,0.00,1508.42,1500.00,1.59,0.00
I (151438) TUNER: 524,1004,1494.99,1500.00,1.54,0.00,1496.23,1500.00,1.63,0.00
