I (146188) TUNER: --- CSV START ---
I (146188) TUNER: Metadata,PID_0(P:3.60000 I:120.00000 D:0.00000),PID_1(P:3.60000 I:120.00000 D:0.00000)
I (146188) TUNER: Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
I (146838) TUNER: 64,1003,333.01,513.37,2.36,0.01,360.63,513.37,2.27,0.01
I (146848) TUNER: 65,997,333.01,521.39,2.36,0.01,360.63,521.39,2.27,0.01
I (146858) TUNER: 66,1003,352.31,529.41,2.41,0.01,375.27,529.41,2.32,0.01
I (146868) TUNER: 67,997,352.31,537.43,2.41,0.01,375.27,537.43,2.32,0.01
I (146878) TUNER: 68,1003,372.05,545.45,2.45,0.01,391.27,545.45,2.38,0.01
I (146888) TUNER: 69,997,372.05,553.48,2.45,0.01,391.27,553.48,2.38,0.01
I (146898) TUNER: 70,1003,400.72,561.50,2.46,0.01,402.35,561.50,2.45,0.01
I (146908) TUNER: 71,997,400.72,569.52,2.46,0.01,402.35,569.52,2.45,0.01
I (146918) TUNER: 72,1003,438.26,577.54,2.43,0.01,426.69,577.54,2.47,0.01
I (146928) TUNER: 73,997,438.26,585.56,2.43,0.01,426.69,585.56,2.47,0.01
I (146938) TUNER: 74,1003,453.69,593.58,2.48,0.01,465.91,593.58,2.43,0.01
I (146948) TUNER: 75,997,453.69,601.60,2.48,0.01,465.91,601.60,2.43,0.01
I (146958) TUNER: 76,1003,471.19,609.63,2.52,0.01,499.86,609.63,2.40,0.01
I (146968) TUNER: 77,997,471.19,617.65,2.52,0.01,499.86,617.65,2.40,0.01
I (146978) TUNER: 78,1003,499.80,625.67,2.52,0.01,517.58,625.67,2.44,0.01
I (146988) TUNER: 79,997,499.80,633.69,2.52,0.01,517.58,633.69,2.44,0.01
I (146998) TUNER: 80,1003,530.41,641.71,2.51,0.01,541.20,641.71,2.45,0.01
I (147008) TUNER: 81,997,530.41,649.73,2.51,0.01,541.20,649.73,2.45,0.01
I (147018) TUNER: 82,1003,543.73,657.75,2.56,0.01,559.24,657.75,2.48,0.01
I (147028) TUNER: 83,997,543.73,665.78,2.56,0.01,559.24,665.78,2.48,0.01
I (147038) TUNER: 84,1003,563.84,673.80,2.59,0.01,562.50,673.80,2.57,0.01
I (147048) TUNER: 85,997,563.84,681.82,2.59,0.01,562.50,681.82,2.57,0.01
I (147058) TUNER: 86,1003,613.43,689.84,2.50,0.01,581.43,689.84,2.60,0.01
I (147068) TUNER: 87,997,613.43,697.86,2.50,0.01,581.43,697.86,2.60,0.01
I (147078) TUNER: 88,1003,635.06,705.88,2.51,0.01,617.19,705.88,2.56,0.01
I (147088) TUNER: 89,997,635.06,713.90,2.51,0.01,617.19,713.90,2.56,0.01
I (147098) TUNER: 90,1003,669.55,721.93,2.47,0.01,630.34,721.93,2.61,0.01
I (147108) TUNER: 91,997,669.55,729.95,2.47,0.01,630.34,729.95,2.61,0.01
I (147118) TUNER: 92,1003,697.99,737.97,2.45,0.01,649.45,737.97,2.63,0.01
I (147128) TUNER: 93,997,697.99,745.99,2.45,0.01,649.45,745.99,2.63,0.01
I (147138) TUNER: 94,1003,683.81,754.01,2.59,0.01,683.63,754.01,2.60,0.01
I (147148) TUNER: 95,997,683.81,762.03,2.59,0.01,683.63,762.03,2.60,0.01
I (147158) TUNER: 96,1003,712.84,770.05,2.57,0.01,695.52,770.05,2.65,0.01
