00:48:41.008 [TUNER] --- CSV START ---
00:48:41.008 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
00:48:41.008 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:48:42.189 [TUNER] 58,1000,454.14,464.00,1.86,0.00,453.36,464.00,2.10,0.00
00:48:42.189 [TUNER] 59,1000,488.73,472.00,1.63,0.00,462.34,472.00,2.22,0.00
00:48:42.233 [TUNER] 60,1000,488.73,480.00,1.63,0.00,462.34,480.00,2.22,0.00
00:48:42.233 [TUNER] 61,1000,497.50,488.00,1.72,0.00,478.11,488.00,2.24,0.00
00:48:42.276 [TUNER] 62,1000,497.50,496.00,1.72,0.00,478.11,496.00,2.24,0.00
00:48:42.276 [TUNER] 63,1000,501.09,504.00,1.90,0.00,495.88,504.00,2.24,0.00
00:48:42.276 [TUNER] 64,1000,501.09,512.00,1.90,0.00,495.88,512.00,2.24,0.00
00:48:42.318 [TUNER] 65,1000,509.11,520.00,2.02,0.00,518.68,520.00,2.17,0.00
00:48:42.318 [TUNER] 66,1000,509.11,528.00,2.02,0.00,518.68,528.00,2.17,0.00
00:48:42.362 [TUNER] 67,1000,518.96,536.00,2.13,0.00,547.24,536.00,2.01,0.00
00:48:42.363 [TUNER] 68,1000,518.96,544.00,2.13,0.00,547.24,544.00,2.01,0.00
00:48:42.404 [TUNER] 69,1000,538.87,552.00,2.11,0.00,559.77,552.00,2.06,0.00
00:48:42.406 [TUNER] 70,1000,538.87,560.00,2.11,0.00,559.77,560.00,2.06,0.00
00:48:42.442 [TUNER] 71,1000,563.38,568.00,2.02,0.00,573.24,568.00,2.11,0.00
00:48:42.443 [TUNER] 72,1001,580.89,576.00,1.91,0.00,585.35,576.00,2.05,0.00
00:48:42.487 [TUNER] 73,999,580.89,584.00,1.91,0.00,585.35,584.00,2.05,0.00
00:48:42.532 [TUNER] 74,1000,597.20,592.00,1.92,0.00,587.00,592.00,2.27,0.00
00:48:42.532 [TUNER] 75,1000,597.20,600.00,1.92,0.00,587.00,600.00,2.27,0.00
00:48:42.532 [TUNER] 76,1000,610.05,608.00,1.97,0.00,598.45,608.00,2.35,0.00
00:48:42.573 [TUNER] 77,1000,610.05,616.00,1.97,0.00,598.45,616.00,2.35,0.00
00:48:42.573 [TUNER] 78,1000,616.90,624.00,2.11,0.00,619.64,624.00,2.30,0.00
00:48:42.614 [TUNER] 79,1000,616.90,632.00,2.11,0.00,619.64,632.00,2.30,0.00
00:48:42.615 [TUNER] 80,1000,646.42,640.00,1.95,0.00,650.34,640.00,2.11,0.00
