00:03:07.279 [TUNER] --- CSV START ---
00:03:07.279 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:15.06000 I:642.76068 D:0.00000),PID_1(P:16.28460 I:690.83972 D:0.00000)
00:03:07.279 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:03:07.280 [TUNER] 0,0,0.00,0.10,0.09,0.00,0.00,0.10,0.22,0.00
00:03:07.313 [TUNER] 1,968,0.00,0.30,0.09,0.00,0.00,0.30,0.22,0.00
00:03:07.314 [TUNER] 2,1000,0.00,0.60,0.10,0.00,0.00,0.60,0.23,0.00
00:03:07.347 [TUNER] 3,1000,0.00,1.00,0.10,0.00,0.00,1.00,0.23,0.00
00:03:07.382 [TUNER] 4,1000,0.00,1.50,0.11,0.00,0.00,1.50,0.25,0.00
00:03:07.382 [TUNER] 5,1000,0.00,2.10,0.11,0.00,0.00,2.10,0.25,0.00
00:03:07.418 [TUNER] 6,1000,0.00,2.80,0.14,0.00,0.00,2.80,0.28,0.00
00:03:07.418 [TUNER] 7,1000,0.00,3.60,0.14,0.00,0.00,3.60,0.28,0.00
00:03:07.451 [TUNER] 8,1004,0.00,4.50,0.17,0.00,0.00,4.50,0.31,0.00
00:03:07.451 [TUNER] 9,998,0.00,5.50,0.19,0.00,0.00,5.50,0.33,0.00
00:03:07.486 [TUNER] 10,1000,0.00,6.60,0.19,0.00,0.00,6.60,0.33,0.00
00:03:07.521 [TUNER] 11,998,0.00,7.80,0.24,0.00,0.00,7.80,0.38,0.00
00:03:07.521 [TUNER] 12,1002,0.00,9.10,0.24,0.00,0.00,9.10,0.38,0.00
00:03:07.556 [TUNER] 13,998,0.00,10.50,0.29,0.00,0.00,10.50,0.44,0.00
00:03:07.556 [TUNER] 14,1000,0.00,12.00,0.29,0.00,0.00,12.00,0.44,0.00
00:03:07.592 [TUNER] 15,1000,0.00,13.60,0.36,0.00,0.00,13.60,0.52,0.00
00:03:07.627 [TUNER] 16,1000,0.00,15.30,0.36,0.00,0.00,15.30,0.52,0.00
00:03:07.627 [TUNER] 17,1000,0.00,17.10,0.44,0.00,0.00,17.10,0.60,0.00
00:03:07.662 [TUNER] 18,1000,0.00,19.00,0.44,0.00,0.00,19.00,0.60,0.00
00:03:07.662 [TUNER] 19,1000,0.00,21.00,0.53,0.00,0.00,21.00,0.70,0.00
00:03:07.697 [TUNER] 20,1000,0.00,23.10,0.53,0.00,0.00,23.10,0.70,0.00
00:03:07.698 [TUNER] 21,1000,0.00,25.30,0.63,0.00,6.87,25.30,0.69,0.00
00:03:07.733 [TUNER] 22,1000,0.00,27.60,0.63,0.00,6.87,27.60,0.69,0.00
00:03:07.767 [TUNER] 23,1000,0.00,30.00,0.74,0.00,14.09,30.00,0.67,0.00
00:03:07.768 [TUNER] 24,1000,0.00,32.50,0.74,0.00,14.09,32.50,0.67,0.00
00:03:07.802 [TUNER] 25,1000,3.44,35.10,0.81,0.00,21.58,35.10,0.66,0.00
00:03:07.802 [TUNER] 26,1000,3.44,37.80,0.81,0.00,21.58,37.80,0.66,0.00
00:03:07.838 [TUNER] 27,1000,7.90,40.60,0.88,0.00,27.57,40.60,0.67,0.00
00:03:07.872 [TUNER] 28,1000,7.90,43.50,0.88,0.00,27.57,43.50,0.67,0.00
00:03:07.874 [TUNER] 29,1000,11.48,46.50,0.96,0.00,28.93,46.50,0.78,0.00
00:03:07.906 [TUNER] 30,1000,11.48,49.60,0.96,0.00,28.93,49.60,0.78,0.00
00:03:07.907 [TUNER] 31,1000,16.05,52.80,1.04,0.00,30.02,52.80,0.90,0.00
00:03:07.942 [TUNER] 32,1000,16.05,56.10,1.04,0.00,30.02,56.10,0.90,0.00
00:03:07.976 [TUNER] 33,1000,26.59,59.50,1.03,0.00,34.32,59.50,0.98,0.00
00:03:07.976 [TUNER] 34,1000,26.59,63.00,1.03,0.00,34.32,63.00,0.98,0.00
00:03:08.013 [TUNER] 35,1000,35.01,66.60,1.06,0.00,39.48,66.60,1.05,0.00
00:03:08.014 [TUNER] 36,1000,35.01,70.30,1.06,0.00,39.48,70.30,1.05,0.00
00:03:08.048 [TUNER] 37,1000,43.47,74.10,1.09,0.00,45.33,74.10,1.13,0.00
00:03:08.048 [TUNER] 38,1000,43.47,78.00,1.09,0.00,45.33,78.00,1.13,0.00
00:03:08.082 [TUNER] 39,1000,51.96,82.00,1.13,0.00,50.01,82.00,1.23,0.00
00:03:08.118 [TUNER] 40,1000,51.96,86.10,1.13,0.00,50.01,86.10,1.23,0.00
00:03:08.120 [TUNER] 41,1000,62.18,90.30,1.15,0.00,60.62,90.30,1.24,0.00
00:03:08.153 [TUNER] 42,1000,62.18,94.60,1.15,0.00,60.62,94.60,1.24,0.00
00:03:08.153 [TUNER] 43,1002,72.06,99.00,1.17,0.00,70.81,99.00,1.27,0.00
00:03:08.186 [TUNER] 44,1000,72.06,103.50,1.17,0.00,70.81,103.50,1.27,0.00
00:03:08.223 [TUNER] 45,998,80.01,108.10,1.24,0.00,85.89,108.10,1.21,0.00
00:03:08.223 [TUNER] 46,1000,80.01,112.80,1.24,0.00,85.89,112.80,1.21,0.00
00:03:08.257 [TUNER] 47,1000,88.06,117.60,1.30,0.00,94.48,117.60,1.27,0.00
00:03:08.258 [TUNER] 48,1000,88.06,122.50,1.30,0.00,94.48,122.50,1.27,0.00
00:03:08.291 [TUNER] 49,1000,99.65,127.50,1.33,0.00,97.92,127.50,1.42,0.00
00:03:08.327 [TUNER] 50,1000,99.65,132.60,1.33,0.00,97.92,132.60,1.42,0.00
00:03:08.327 [TUNER] 51,1000,114.08,137.80,1.30,0.00,104.11,137.80,1.55,0.00
00:03:08.402 [TUNER] 52,1000,114.08,143.10,1.30,0.00,104.11,143.10,1.55,0.00
00:03:08.403 [TUNER] 53,1000,125.63,148.50,1.33,0.00,114.21,148.50,1.61,0.00
00:03:08.403 [TUNER] 54,1000,125.63,154.00,1.33,0.00,114.21,154.00,1.61,0.00
00:03:08.432 [TUNER] 55,1000,136.58,159.60,1.37,0.00,127.45,159.60,1.63,0.00
00:03:08.433 [TUNER] 56,1000,136.58,165.30,1.37,0.00,127.45,165.30,1.63,0.00
00:03:08.469 [TUNER] 57,1000,152.22,171.10,1.35,0.00,144.91,171.10,1.58,0.00
00:03:08.472 [TUNER] 58,1000,152.22,177.00,1.35,0.00,144.91,177.00,1.58,0.00
00:03:08.537 [TUNER] 59,1000,168.16,183.00,1.32,0.00,153.72,183.00,1.69,0.00
00:03:08.537 [TUNER] 60,1000,168.16,189.10,1.32,0.00,153.72,189.10,1.69,0.00
00:03:08.537 [TUNER] 61,1000,186.07,195.30,1.26,0.00,162.49,195.30,1.80,0.00
00:03:08.571 [TUNER] 62,1000,186.07,201.60,1.26,0.00,162.49,201.60,1.80,0.00
00:03:08.571 [TUNER] 63,1000,207.27,208.00,1.14,0.00,188.41,208.00,1.63,0.00
00:03:08.606 [TUNER] 64,1000,207.27,214.50,1.14,0.00,188.41,214.50,1.63,0.00
00:03:08.607 [TUNER] 65,1000,203.61,221.10,1.43,0.00,209.14,221.10,1.53,0.00
00:03:08.642 [TUNER] 66,1000,203.61,227.80,1.43,0.00,209.14,227.80,1.53,0.00
00:03:08.677 [TUNER] 67,1000,205.84,234.60,1.65,0.00,218.86,234.60,1.63,0.00
00:03:08.678 [TUNER] 68,1000,205.84,241.50,1.65,0.00,218.86,241.50,1.63,0.00
00:03:08.713 [TUNER] 69,1000,212.78,248.50,1.82,0.00,240.37,248.50,1.53,0.00
00:03:08.713 [TUNER] 70,1000,212.78,255.60,1.82,0.00,240.37,255.60,1.53,0.00
00:03:08.748 [TUNER] 71,1000,223.48,262.80,1.94,0.00,250.71,262.80,1.62,0.00
00:03:08.749 [TUNER] 72,1000,223.48,270.10,1.94,0.00,250.71,270.10,1.62,0.00
00:03:08.783 [TUNER] 73,1000,247.51,277.50,1.85,0.00,279.60,277.50,1.40,0.00
00:03:08.817 [TUNER] 74,1000,247.51,285.00,1.85,0.00,279.60,285.00,1.40,0.00
00:03:08.817 [TUNER] 75,1000,270.17,292.60,1.78,0.00,288.97,292.60,1.52,0.00
00:03:08.852 [TUNER] 76,1000,270.17,300.30,1.78,0.00,288.97,300.30,1.52,0.00
00:03:08.852 [TUNER] 77,1000,281.42,308.10,1.89,0.00,311.92,308.10,1.41,0.00
00:03:08.888 [TUNER] 78,1000,281.42,316.00,1.89,0.00,311.92,316.00,1.41,0.00
00:03:08.888 [TUNER] 79,1000,297.29,324.00,1.94,0.00,316.54,324.00,1.61,0.00
00:03:08.923 [TUNER] 80,1000,297.29,332.10,1.94,0.00,316.54,332.10,1.61,0.00
00:03:08.958 [TUNER] 81,1000,332.33,340.30,1.69,0.00,335.70,340.30,1.59,0.00
00:03:08.959 [TUNER] 82,1000,332.33,348.60,1.69,0.00,335.70,348.60,1.59,0.00
00:03:08.992 [TUNER] 83,1002,352.92,357.00,1.65,0.00,336.84,357.00,1.89,0.00
00:03:08.992 [TUNER] 84,998,352.92,365.50,1.65,0.00,336.84,365.50,1.89,0.00
00:03:09.027 [TUNER] 85,1000,361.88,374.10,1.81,0.00,347.29,374.10,2.05,0.00
00:03:09.027 [TUNER] 86,1000,361.88,382.80,1.81,0.00,347.29,382.80,2.05,0.00
00:03:09.061 [TUNER] 87,1000,373.69,391.60,1.93,0.00,351.71,391.60,2.34,0.00
00:03:09.099 [TUNER] 88,1000,373.69,400.50,1.93,0.00,351.71,400.50,2.34,0.00
00:03:09.132 [TUNER] 89,1000,388.29,409.50,2.03,0.00,368.99,409.50,2.42,0.00
00:03:09.133 [TUNER] 90,1000,388.29,418.60,2.03,0.00,368.99,418.60,2.42,0.00
00:03:09.134 [TUNER] 91,1000,399.88,427.80,2.18,0.00,393.02,427.80,2.39,0.00
00:03:09.170 [TUNER] 92,1000,399.88,437.10,2.18,0.00,393.02,437.10,2.39,0.00
00:03:09.170 [TUNER] 93,1000,412.77,446.50,2.33,0.00,412.44,446.50,2.45,0.00
00:03:09.203 [TUNER] 94,1000,412.77,456.00,2.33,0.00,412.44,456.00,2.45,0.00
00:03:09.240 [TUNER] 95,1000,431.58,465.60,2.40,0.00,451.94,465.60,2.15,0.00
00:03:09.241 [TUNER] 96,1000,431.58,475.30,2.40,0.00,451.94,475.30,2.15,0.00
00:03:09.271 [TUNER] 97,1000,458.66,485.10,2.34,0.00,483.53,485.10,1.98,0.00
00:03:09.272 [TUNER] 98,1000,458.66,495.00,2.34,0.00,483.53,495.00,1.98,0.00
00:03:09.307 [TUNER] 99,1000,494.06,505.00,2.14,0.00,505.37,505.00,1.96,0.00
00:03:09.307 [TUNER] 100,1000,494.06,515.10,2.14,0.00,505.37,515.10,1.96,0.00
00:03:09.341 [TUNER] 101,1000,537.85,525.30,1.79,0.00,514.25,525.30,2.18,0.00
00:03:09.378 [TUNER] 102,1000,537.85,535.60,1.79,0.00,514.25,535.60,2.18,0.00
00:03:09.378 [TUNER] 103,1000,569.44,546.00,1.62,0.00,523.08,546.00,2.43,0.00
00:03:09.412 [TUNER] 104,1000,569.44,556.50,1.62,0.00,523.08,556.50,2.43,0.00
00:03:09.412 [TUNER] 105,1000,570.66,567.10,1.93,0.00,533.57,567.10,2.67,0.00
00:03:09.446 [TUNER] 106,1000,570.66,577.80,1.93,0.00,533.57,577.80,2.67,0.00
00:03:09.447 [TUNER] 107,1000,573.36,588.60,2.26,0.00,552.28,588.60,2.79,0.00
00:03:09.482 [TUNER] 108,1000,573.36,599.50,2.26,0.00,552.28,599.50,2.79,0.00
00:03:09.517 [TUNER] 109,1000,585.82,610.50,2.45,0.00,575.83,610.50,2.83,0.00
00:03:09.520 [TUNER] 110,1000,585.82,621.60,2.45,0.00,575.83,621.60,2.83,0.00
00:03:09.554 [TUNER] 111,1000,609.54,632.80,2.48,0.00,596.39,632.80,2.93,0.00
00:03:09.556 [TUNER] 112,1000,609.54,644.10,2.48,0.00,596.39,644.10,2.93,0.00
00:03:09.588 [TUNER] 113,1002,643.82,655.50,2.35,0.00,623.00,655.50,2.93,0.00
00:03:09.589 [TUNER] 114,1000,643.82,667.00,2.35,0.00,623.00,667.00,2.93,0.00
00:03:09.622 [TUNER] 115,998,674.99,678.60,2.25,0.00,649.74,678.60,2.94,0.00
00:03:09.656 [TUNER] 116,1000,674.99,690.30,2.25,0.00,649.74,690.30,2.94,0.00
00:03:09.656 [TUNER] 117,1000,696.34,702.10,2.32,0.00,683.01,702.10,2.83,0.00
00:03:09.692 [TUNER] 118,1000,696.34,714.00,2.32,0.00,683.01,714.00,2.83,0.00
00:03:09.693 [TUNER] 119,1000,728.88,726.00,2.21,0.00,731.96,726.00,2.43,0.00
00:03:09.727 [TUNER] 120,1000,728.88,738.00,2.21,0.00,731.96,738.00,2.43,0.00
00:03:09.727 [TUNER] 121,1000,772.09,750.00,1.91,0.00,784.86,750.00,1.94,0.00
00:03:09.763 [TUNER] 122,1000,772.09,762.00,1.91,0.00,784.86,762.00,1.94,0.00
00:03:09.798 [TUNER] 123,1000,818.68,774.00,1.54,0.00,804.85,774.00,1.98,0.00
00:03:09.834 [TUNER] 124,1000,818.68,786.00,1.54,0.00,804.85,786.00,1.98,0.00
00:03:09.838 [TUNER] 125,1000,837.06,798.00,1.60,0.00,791.63,798.00,2.62,0.00
00:03:09.838 [TUNER] 126,1000,837.06,810.00,1.60,0.00,791.63,810.00,2.62,0.00
00:03:09.868 [TUNER] 127,1000,824.27,822.00,2.17,0.00,772.47,822.00,3.42,0.00
00:03:09.868 [TUNER] 128,1000,824.27,834.00,2.17,0.00,772.47,834.00,3.42,0.00
00:03:09.902 [TUNER] 129,1000,819.20,846.00,2.67,0.00,788.06,846.00,3.66,0.00
00:03:09.938 [TUNER] 130,1000,819.20,858.00,2.67,0.00,788.06,858.00,3.66,0.00
00:03:09.938 [TUNER] 131,1000,806.55,870.00,3.33,0.00,814.28,870.00,3.72,0.00
00:03:09.972 [TUNER] 132,1000,806.55,882.00,3.33,0.00,814.28,882.00,3.72,0.00
00:03:09.973 [TUNER] 133,1000,851.41,894.00,3.09,0.00,869.62,894.00,3.27,0.00
00:03:10.007 [TUNER] 134,1000,851.41,906.00,3.09,0.00,869.62,906.00,3.27,0.00
00:03:10.007 [TUNER] 135,1000,868.39,918.00,3.29,0.00,898.43,918.00,3.24,0.00
00:03:10.042 [TUNER] 136,1000,868.39,930.00,3.29,0.00,898.43,930.00,3.24,0.00
00:03:10.079 [TUNER] 137,1000,888.85,942.00,3.43,0.00,909.45,942.00,3.52,0.00
00:03:10.079 [TUNER] 138,1000,888.85,954.00,3.43,0.00,909.45,954.00,3.52,0.00
00:03:10.112 [TUNER] 139,1000,925.84,966.00,3.31,0.00,949.19,966.00,3.31,0.00
00:03:10.114 [TUNER] 140,1000,925.84,978.00,3.31,0.00,949.19,978.00,3.31,0.00
00:03:10.148 [TUNER] 141,1000,1000.10,990.00,2.57,0.00,1013.62,990.00,2.64,0.00
00:03:10.148 [TUNER] 142,1000,1000.10,1002.00,2.57,0.00,1013.62,1002.00,2.64,0.00
00:03:10.182 [TUNER] 143,1000,1057.79,1014.00,2.03,0.00,1061.73,1014.00,2.21,0.00
00:03:10.217 [TUNER] 144,1000,1057.79,1026.00,2.03,0.00,1061.73,1026.00,2.21,0.00
00:03:10.219 [TUNER] 145,1000,1102.22,1038.00,1.66,0.00,1079.61,1038.00,2.27,0.00
00:03:10.253 [TUNER] 146,1000,1102.22,1050.00,1.66,0.00,1079.61,1050.00,2.27,0.00
00:03:10.255 [TUNER] 147,1000,1118.87,1062.00,1.72,0.00,1104.21,1062.00,2.23,0.00
00:03:10.289 [TUNER] 148,1000,1118.87,1074.00,1.72,0.00,1104.21,1074.00,2.23,0.00
00:03:10.291 [TUNER] 149,1000,1085.80,1086.00,2.61,0.00,1092.97,1086.00,2.82,0.00
00:03:10.322 [TUNER] 150,1000,1085.80,1098.00,2.61,0.00,1092.97,1098.00,2.82,0.00
00:03:10.357 [TUNER] 151,1000,1059.34,1110.00,3.45,0.00,1063.37,1110.00,3.78,0.00
00:03:10.358 [TUNER] 152,1000,1059.34,1122.00,3.45,0.00,1063.37,1122.00,3.78,0.00
00:03:10.392 [TUNER] 153,1000,1050.21,1134.00,4.09,0.00,1074.04,1134.00,4.10,0.00
00:03:10.393 [TUNER] 154,1000,1050.21,1146.00,4.09,0.00,1074.04,1146.00,4.10,0.00
00:03:10.428 [TUNER] 155,1000,1075.54,1158.00,4.20,0.00,1132.40,1158.00,3.60,0.00
00:03:10.428 [TUNER] 156,1000,1075.54,1170.00,4.20,0.00,1132.40,1170.00,3.60,0.00
00:03:10.462 [TUNER] 157,1000,1152.50,1182.00,3.46,0.00,1197.99,1182.00,2.93,0.00
00:03:10.498 [TUNER] 158,1000,1152.50,1194.00,3.46,0.00,1197.99,1194.00,2.93,0.00
00:03:10.499 [TUNER] 159,1000,1224.38,1206.00,2.74,0.00,1185.18,1206.00,3.58,0.00
00:03:10.533 [TUNER] 160,1000,1224.38,1218.00,2.74,0.00,1185.18,1218.00,3.58,0.00
00:03:10.533 [TUNER] 161,1000,1275.01,1230.00,2.30,0.00,1156.03,1230.00,4.57,0.00
00:03:10.569 [TUNER] 162,1000,1275.01,1242.00,2.30,0.00,1156.03,1242.00,4.57,0.00
00:03:10.569 [TUNER] 163,1000,1308.64,1254.00,2.11,0.00,1180.81,1254.00,4.68,0.00
00:03:10.603 [TUNER] 164,1000,1308.64,1266.00,2.11,0.00,1180.81,1266.00,4.68,0.00
00:03:10.637 [TUNER] 165,1000,1268.54,1278.00,3.11,0.00,1228.13,1278.00,4.39,0.00
00:03:10.638 [TUNER] 166,1000,1268.54,1290.00,3.11,0.00,1228.13,1290.00,4.39,0.00
00:03:10.673 [TUNER] 167,1000,1236.46,1301.90,4.07,0.00,1326.12,1301.90,3.18,0.00
00:03:10.673 [TUNER] 168,1000,1236.46,1313.70,4.07,0.00,1326.12,1313.70,3.18,0.00
00:03:10.706 [TUNER] 169,1000,1258.91,1325.40,4.19,0.00,1473.23,1325.40,0.98,0.00
00:03:10.708 [TUNER] 170,1000,1258.91,1337.00,4.19,0.00,1473.23,1337.00,0.98,0.00
00:03:10.778 [TUNER] 171,1000,1295.76,1348.50,4.07,0.00,1535.94,1348.50,0.10,0.00
00:03:10.779 [TUNER] 172,1000,1295.76,1359.90,4.07,0.00,1535.94,1359.90,0.10,0.00
00:03:10.779 [TUNER] 173,1000,1330.40,1371.20,3.97,0.00,1524.26,1371.20,0.47,0.00
00:03:10.814 [TUNER] 174,1000,1330.40,1382.40,3.97,0.00,1524.26,1382.40,0.47,0.00
00:03:10.815 [TUNER] 175,1000,1459.47,1393.50,2.30,0.00,1411.83,1393.50,2.66,0.00
00:03:10.851 [TUNER] 176,1000,1459.47,1404.50,2.30,0.00,1411.83,1404.50,2.66,0.00
00:03:10.856 [TUNER] 177,1000,1555.86,1415.40,1.02,0.00,1316.73,1415.40,4.73,0.00
00:03:10.882 [TUNER] 178,1000,1555.86,1426.20,1.02,0.00,1316.73,1426.20,4.73,0.00
00:03:10.919 [TUNER] 179,1000,1610.63,1436.90,0.32,0.00,1316.25,1436.90,5.27,0.00
00:03:10.920 [TUNER] 180,1000,1610.63,1447.50,0.32,0.00,1316.25,1447.50,5.27,0.00
