16:32:30.908 [TUNER] --- CSV START ---
16:32:30.908 [TUNER] Metadata,PID_0(P:15.61860 I:661.27509 D:0.00000),PID_1(P:15.35330 I:650.89368 D:0.00000)
16:32:30.908 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
16:32:32.079 [TUNER] 58,1003,484.01,465.24,1.59,0.00,494.09,465.24,1.43,0.00
16:32:32.079 [TUNER] 59,997,484.01,473.26,1.59,0.00,494.09,473.26,1.43,0.00
16:32:32.118 [TUNER] 60,1003,495.45,481.28,1.66,0.00,484.61,481.28,1.83,0.00
16:32:32.118 [TUNER] 61,997,495.45,489.30,1.66,0.00,484.61,489.30,1.83,0.00
16:32:32.161 [TUNER] 62,1003,502.88,497.33,1.80,0.00,481.32,497.33,2.16,0.00
16:32:32.162 [TUNER] 63,997,502.88,505.35,1.80,0.00,481.32,505.35,2.16,0.00
16:32:32.203 [TUNER] 64,1003,505.38,513.37,2.03,0.00,521.64,513.37,1.79,0.00
16:32:32.204 [TUNER] 65,997,505.38,521.39,2.03,0.00,521.64,521.39,1.79,0.00
16:32:32.204 [TUNER] 66,1003,537.46,529.41,1.79,0.00,547.03,529.41,1.64,0.00
16:32:32.248 [TUNER] 67,997,537.46,537.43,1.79,0.00,547.03,537.43,1.64,0.00
16:32:32.248 [TUNER] 68,1003,545.08,545.45,1.93,0.00,543.28,545.45,1.96,0.00
16:32:32.291 [TUNER] 69,997,545.08,553.48,1.93,0.00,543.28,553.48,1.96,0.00
16:32:32.291 [TUNER] 70,1003,544.30,561.50,2.23,0.00,540.29,561.50,2.30,0.00
16:32:32.333 [TUNER] 71,997,544.30,569.52,2.23,0.00,540.29,569.52,2.30,0.00
16:32:32.334 [TUNER] 72,1003,569.45,577.54,2.12,0.00,582.56,577.54,1.90,0.00
16:32:32.376 [TUNER] 73,997,569.45,585.56,2.12,0.00,582.56,585.56,1.90,0.00
16:32:32.377 [TUNER] 74,1003,628.22,593.58,1.42,0.00,602.63,593.58,1.84,0.00
16:32:32.414 [TUNER] 75,997,628.22,601.60,1.42,0.00,602.63,601.60,1.84,0.00
16:32:32.415 [TUNER] 76,1003,652.91,609.63,1.24,0.00,625.56,609.63,1.73,0.00
16:32:32.459 [TUNER] 77,997,652.91,617.65,1.24,0.00,625.56,617.65,1.73,0.00
16:32:32.459 [TUNER] 78,1003,671.80,625.67,1.15,0.00,641.33,625.67,1.73,0.00
16:32:32.502 [TUNER] 79,997,671.80,633.69,1.15,0.00,641.33,633.69,1.73,0.00
16:32:32.502 [TUNER] 80,1003,675.74,641.71,1.31,0.00,658.24,641.71,1.71,0.00
16:32:32.545 [TUNER] 81,997,675.74,649.73,1.31,0.00,658.24,649.73,1.71,0.00
16:32:32.545 [TUNER] 82,1003,650.55,657.75,1.98,0.00,679.50,657.75,1.61,0.00
16:32:32.545 [TUNER] 83,997,650.55,665.78,1.98,0.00,679.50,665.78,1.61,0.00
16:32:32.587 [TUNER] 84,1003,658.74,673.80,2.13,0.00,699.94,673.80,1.53,0.00
16:32:32.588 [TUNER] 85,997,658.74,681.82,2.13,0.00,699.94,681.82,1.53,0.00
16:32:32.628 [TUNER] 86,1003,667.02,689.84,2.30,0.00,700.84,689.84,1.76,0.00
16:32:32.629 [TUNER] 87,997,667.02,697.86,2.30,0.00,700.84,697.86,1.76,0.00
16:32:32.673 [TUNER] 88,1003,665.90,705.88,2.64,0.00,692.10,705.88,2.17,0.00
16:32:32.674 [TUNER] 89,997,665.90,713.90,2.64,0.00,692.10,713.90,2.17,0.00
16:32:32.758 [TUNER] 90,1003,676.18,721.93,2.80,0.00,716.04,721.93,2.08,0.00
16:32:32.758 [TUNER] 91,997,676.18,729.95,2.80,0.00,716.04,729.95,2.08,0.00
16:32:32.758 [TUNER] 92,1003,712.75,737.97,2.53,0.00,730.03,737.97,2.13,0.00
16:32:32.758 [TUNER] 93,997,712.75,745.99,2.53,0.00,730.03,745.99,2.13,0.00
16:32:32.798 [TUNER] 94,1003,729.12,754.01,2.57,0.00,742.95,754.01,2.21,0.00
16:32:32.799 [TUNER] 95,997,729.12,762.03,2.57,0.00,742.95,762.03,2.21,0.00
16:32:32.842 [TUNER] 96,1003,761.12,770.05,2.35,0.00,773.89,770.05,1.99,0.00
16:32:32.842 [TUNER] 97,997,761.12,778.07,2.35,0.00,773.89,778.07,1.99,0.00
16:32:32.886 [TUNER] 98,1003,813.34,786.10,1.76,0.00,790.06,786.10,2.00,0.00
16:32:32.887 [TUNER] 99,997,813.34,794.12,1.76,0.00,790.06,794.12,2.00,0.00
16:32:32.887 [TUNER] 100,1003,852.55,802.14,1.35,0.00,814.16,802.14,1.87,0.00
16:32:32.926 [TUNER] 101,997,852.55,810.16,1.35,0.00,814.16,810.16,1.87,0.00
16:32:32.926 [TUNER] 102,1003,896.79,818.18,0.82,0.00,831.73,818.18,1.85,0.00
16:32:32.969 [TUNER] 103,997,896.79,826.20,0.82,0.00,831.73,826.20,1.85,0.00
16:32:32.969 [TUNER] 104,1003,907.28,834.22,0.82,0.00,843.20,834.22,1.92,0.00
16:32:33.013 [TUNER] 105,997,907.28,842.25,0.82,0.00,843.20,842.25,1.92,0.00
16:32:33.013 [TUNER] 106,1003,895.91,850.27,1.20,0.00,875.57,850.27,1.65,0.00
16:32:33.054 [TUNER] 107,997,895.91,858.29,1.20,0.00,875.57,858.29,1.65,0.00
16:32:33.054 [TUNER] 108,1003,847.30,866.31,2.25,0.00,895.46,866.31,1.57,0.00
16:32:33.098 [TUNER] 109,997,847.30,874.33,2.25,0.00,895.46,874.33,1.57,0.00
16:32:33.099 [TUNER] 110,1003,829.03,882.35,2.88,0.00,879.58,882.35,2.08,0.00
16:32:33.182 [TUNER] 111,997,829.03,890.37,2.88,0.00,879.58,890.37,2.08,0.00
16:32:33.183 [TUNER] 112,1003,871.11,898.40,2.52,0.00,851.42,898.40,2.83,0.00
16:32:33.183 [TUNER] 113,997,871.11,906.42,2.52,0.00,851.42,906.42,2.83,0.00
16:32:33.183 [TUNER] 114,1003,883.30,914.44,2.64,0.00,869.26,914.44,2.88,0.00
16:32:33.183 [TUNER] 115,997,883.30,922.46,2.64,0.00,869.26,922.46,2.88,0.00
16:32:33.223 [TUNER] 116,1003,899.92,930.48,2.68,0.00,906.73,930.48,2.59,0.00
16:32:33.223 [TUNER] 117,997,899.92,938.50,2.68,0.00,906.73,938.50,2.59,0.00
16:32:33.266 [TUNER] 118,1003,905.49,946.52,2.91,0.00,936.71,946.52,2.41,0.00
16:32:33.266 [TUNER] 119,997,905.49,954.55,2.91,0.00,936.71,954.55,2.41,0.00
16:32:33.312 [TUNER] 120,1003,960.62,962.57,2.32,0.00,967.56,962.57,2.19,0.00
16:32:33.313 [TUNER] 121,997,960.62,970.59,2.32,0.00,967.56,970.59,2.19,0.00
16:32:33.350 [TUNER] 122,1003,987.55,978.61,2.15,0.00,1013.72,978.61,1.69,0.00
16:32:33.350 [TUNER] 123,997,987.55,986.63,2.15,0.00,1013.72,986.63,1.69,0.00
16:32:33.394 [TUNER] 124,1003,1051.18,994.65,1.35,0.00,1076.41,994.65,0.89,0.00
16:32:33.396 [TUNER] 125,997,1051.18,1002.67,1.35,0.00,1076.41,1002.67,0.89,0.00
16:32:33.437 [TUNER] 126,1003,1066.87,1010.70,1.30,0.00,1143.75,1010.70,-0.06,0.00
16:32:33.437 [TUNER] 127,997,1066.87,1018.72,1.30,0.00,1143.75,1018.72,-0.06,0.00
16:32:33.479 [TUNER] 128,1003,1056.23,1026.74,1.69,0.00,1107.42,1026.74,0.65,0.00
16:32:33.523 [TUNER] 129,997,1056.23,1034.76,1.69,0.00,1107.42,1034.76,0.65,0.00
16:32:33.523 [TUNER] 130,1003,1027.96,1042.78,2.41,0.00,1054.31,1042.78,1.71,0.00
16:32:33.523 [TUNER] 131,997,1027.96,1050.80,2.41,0.00,1054.31,1050.80,1.71,0.00
16:32:33.523 [TUNER] 132,1003,1018.22,1058.82,2.88,0.00,994.64,1058.82,2.98,0.00
16:32:33.564 [TUNER] 133,997,1018.22,1066.84,2.88,0.00,994.64,1066.84,2.98,0.00
16:32:33.565 [TUNER] 134,1003,1024.18,1074.87,3.12,0.00,1007.03,1074.87,3.13,0.00
16:32:33.649 [TUNER] 135,997,1024.18,1082.89,3.12,0.00,1007.03,1082.89,3.13,0.00
16:32:33.649 [TUNER] 136,1003,1054.72,1090.91,2.96,0.00,1017.80,1090.91,3.33,0.00
16:32:33.649 [TUNER] 137,997,1054.72,1098.93,2.96,0.00,1017.80,1098.93,3.33,0.00
