00:04:21.932 [TUNER] --- CSV START ---
00:04:21.934 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:16.84489 I:793.53180 D:0.00000),PID_1(P:18.20300 I:852.88855 D:0.00000)
00:04:21.935 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:04:21.936 [TUNER] 0,0,0.00,0.10,0.09,0.00,0.00,0.10,0.22,0.00
00:04:21.968 [TUNER] 1,975,0.00,0.30,0.09,0.00,0.00,0.30,0.22,0.00
00:04:21.968 [TUNER] 2,1000,0.00,0.60,0.10,0.00,0.00,0.60,0.23,0.00
00:04:22.003 [TUNER] 3,1000,0.00,1.00,0.10,0.00,0.00,1.00,0.23,0.00
00:04:22.004 [TUNER] 4,1000,0.00,1.50,0.12,0.00,0.00,1.50,0.25,0.00
00:04:22.039 [TUNER] 5,1000,0.00,2.10,0.12,0.00,0.00,2.10,0.25,0.00
00:04:22.072 [TUNER] 6,1000,0.00,2.80,0.14,0.00,0.00,2.80,0.28,0.00
00:04:22.073 [TUNER] 7,1000,0.00,3.60,0.14,0.00,0.00,3.60,0.28,0.00
00:04:22.109 [TUNER] 8,1000,0.00,4.50,0.18,0.00,0.00,4.50,0.32,0.00
00:04:22.111 [TUNER] 9,1000,0.00,5.50,0.18,0.00,0.00,5.50,0.32,0.00
00:04:22.142 [TUNER] 10,1000,0.00,6.60,0.23,0.00,0.00,6.60,0.38,0.00
00:04:22.178 [TUNER] 11,1000,0.00,7.80,0.23,0.00,0.00,7.80,0.38,0.00
00:04:22.178 [TUNER] 12,1000,0.00,9.10,0.29,0.00,0.00,9.10,0.44,0.00
00:04:22.212 [TUNER] 13,1004,0.00,10.50,0.32,0.00,0.00,10.50,0.48,0.00
00:04:22.213 [TUNER] 14,996,0.00,12.00,0.32,0.00,0.00,12.00,0.48,0.00
00:04:22.247 [TUNER] 15,1000,0.00,13.60,0.40,0.00,0.00,13.60,0.56,0.00
00:04:22.282 [TUNER] 16,1000,0.00,15.30,0.40,0.00,0.00,15.30,0.56,0.00
00:04:22.283 [TUNER] 17,1000,0.00,17.10,0.49,0.00,0.00,17.10,0.65,0.00
00:04:22.319 [TUNER] 18,1000,0.00,19.00,0.49,0.00,0.00,19.00,0.65,0.00
00:04:22.319 [TUNER] 19,1000,0.00,21.00,0.59,0.00,1.72,21.00,0.73,0.00
00:04:22.352 [TUNER] 20,1000,0.00,23.10,0.59,0.00,1.72,23.10,0.73,0.00
00:04:22.388 [TUNER] 21,1000,3.44,25.30,0.64,0.00,4.81,25.30,0.79,0.00
00:04:22.389 [TUNER] 22,1000,3.44,27.60,0.64,0.00,4.81,27.60,0.79,0.00
00:04:22.422 [TUNER] 23,1000,18.21,30.00,0.50,0.00,9.00,30.00,0.84,0.00
00:04:22.424 [TUNER] 24,1000,18.21,32.50,0.50,0.00,9.00,32.50,0.84,0.00
00:04:22.457 [TUNER] 25,1000,28.32,35.10,0.43,0.00,10.64,35.10,0.95,0.00
00:04:22.492 [TUNER] 26,1000,28.32,37.80,0.43,0.00,10.64,37.80,0.95,0.00
00:04:22.493 [TUNER] 27,1000,24.37,40.60,0.62,0.00,15.38,40.60,1.01,0.00
00:04:22.527 [TUNER] 28,1000,24.37,43.50,0.62,0.00,15.38,43.50,1.01,0.00
00:04:22.527 [TUNER] 29,1000,19.50,46.50,0.85,0.00,20.90,46.50,1.07,0.00
00:04:22.562 [TUNER] 30,1000,19.50,49.60,0.85,0.00,20.90,49.60,1.07,0.00
00:04:22.563 [TUNER] 31,1002,22.45,52.80,0.96,0.00,28.71,52.80,1.09,0.00
00:04:22.597 [TUNER] 32,998,22.45,56.10,0.96,0.00,28.71,56.10,1.09,0.00
00:04:22.633 [TUNER] 33,1000,36.91,59.50,0.87,0.00,35.03,59.50,1.14,0.00
00:04:22.633 [TUNER] 34,1000,36.91,63.00,0.87,0.00,35.03,63.00,1.14,0.00
00:04:22.669 [TUNER] 35,1000,44.99,66.60,0.90,0.00,43.48,66.60,1.17,0.00
00:04:22.670 [TUNER] 36,1000,44.99,70.30,0.90,0.00,43.48,70.30,1.17,0.00
00:04:22.702 [TUNER] 37,1000,44.58,74.10,1.08,0.00,50.25,74.10,1.23,0.00
00:04:22.736 [TUNER] 38,1000,44.58,78.00,1.08,0.00,50.25,78.00,1.23,0.00
00:04:22.737 [TUNER] 39,1000,47.69,82.00,1.23,0.00,55.66,82.00,1.33,0.00
00:04:22.772 [TUNER] 40,1000,47.69,86.10,1.23,0.00,55.66,86.10,1.33,0.00
00:04:22.773 [TUNER] 41,1000,58.78,90.30,1.24,0.00,66.87,90.30,1.32,0.00
00:04:22.807 [TUNER] 42,1000,58.78,94.60,1.24,0.00,66.87,94.60,1.32,0.00
