00:01:51.660 [TUNER] --- CSV START ---
00:01:51.660 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:13.59964 I:531.20721 D:0.00000),PID_1(P:14.71500 I:570.94196 D:0.00000)
00:01:51.661 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:01:51.661 [TUNER] 0,0,0.00,0.10,0.09,0.00,0.00,0.10,0.22,0.00
00:01:51.662 [TUNER] 1,975,0.00,0.30,0.09,0.00,0.00,0.30,0.22,0.00
00:01:51.663 [TUNER] 2,1000,0.00,0.60,0.09,0.00,0.00,0.60,0.23,0.00
00:01:51.676 [TUNER] 3,1000,0.00,1.00,0.09,0.00,0.00,1.00,0.23,0.00
00:01:51.711 [TUNER] 4,1000,0.00,1.50,0.11,0.00,0.00,1.50,0.25,0.00
00:01:51.712 [TUNER] 5,1000,0.00,2.10,0.11,0.00,0.00,2.10,0.25,0.00
00:01:51.747 [TUNER] 6,1000,0.00,2.80,0.13,0.00,0.00,2.80,0.27,0.00
00:01:51.748 [TUNER] 7,1000,0.00,3.60,0.13,0.00,0.00,3.60,0.27,0.00
00:01:51.783 [TUNER] 8,1057,0.00,4.50,0.16,0.00,0.00,4.50,0.30,0.00
00:01:51.785 [TUNER] 9,948,0.00,5.50,0.16,0.00,0.00,5.50,0.30,0.00
00:01:51.816 [TUNER] 10,995,0.00,6.60,0.20,0.00,0.00,6.60,0.34,0.00
00:01:51.852 [TUNER] 11,1002,0.00,7.80,0.20,0.00,0.00,7.80,0.34,0.00
00:01:51.852 [TUNER] 12,998,0.00,9.10,0.24,0.00,0.00,9.10,0.39,0.00
00:01:51.889 [TUNER] 13,1000,0.00,10.50,0.27,0.00,0.00,10.50,0.42,0.00
00:01:51.889 [TUNER] 14,1000,0.00,12.00,0.27,0.00,0.00,12.00,0.42,0.00
00:01:51.922 [TUNER] 15,1000,0.00,13.60,0.33,0.00,0.00,13.60,0.49,0.00
00:01:51.957 [TUNER] 16,1000,0.00,15.30,0.33,0.00,0.00,15.30,0.49,0.00
00:01:51.957 [TUNER] 17,1000,0.00,17.10,0.40,0.00,0.00,17.10,0.56,0.00
00:01:51.992 [TUNER] 18,1000,0.00,19.00,0.40,0.00,0.00,19.00,0.56,0.00
00:01:51.992 [TUNER] 19,1000,0.00,21.00,0.48,0.00,0.00,21.00,0.65,0.00
00:01:52.027 [TUNER] 20,1000,0.00,23.10,0.52,0.00,0.00,23.10,0.69,0.00
00:01:52.065 [TUNER] 21,1000,0.00,25.30,0.52,0.00,0.00,25.30,0.69,0.00
00:01:52.065 [TUNER] 22,1000,0.00,27.60,0.62,0.00,5.16,27.60,0.71,0.00
00:01:52.096 [TUNER] 23,1000,0.00,30.00,0.62,0.00,5.16,30.00,0.71,0.00
00:01:52.098 [TUNER] 24,1000,1.72,32.50,0.70,0.00,12.72,32.50,0.70,0.00
00:01:52.131 [TUNER] 25,1000,1.72,35.10,0.70,0.00,12.72,35.10,0.70,0.00
00:01:52.132 [TUNER] 26,1000,8.25,37.80,0.72,0.00,18.76,37.80,0.72,0.00
00:01:52.166 [TUNER] 27,1000,8.25,40.60,0.72,0.00,18.76,40.60,0.72,0.00
00:01:52.202 [TUNER] 28,1000,15.19,43.50,0.74,0.00,23.60,43.50,0.76,0.00
00:01:52.202 [TUNER] 29,1000,15.19,46.50,0.74,0.00,23.60,46.50,0.76,0.00
00:01:52.274 [TUNER] 30,1000,19.02,49.60,0.81,0.00,25.75,49.60,0.85,0.00
00:01:52.274 [TUNER] 31,1000,19.02,52.80,0.81,0.00,25.75,52.80,0.85,0.00
00:01:52.274 [TUNER] 32,1000,18.65,56.10,0.95,0.00,25.76,56.10,0.98,0.00
00:01:52.306 [TUNER] 33,1000,18.65,59.50,0.95,0.00,25.76,59.50,0.98,0.00
00:01:52.307 [TUNER] 34,1000,25.23,63.00,1.00,0.00,32.63,63.00,1.03,0.00
00:01:52.341 [TUNER] 35,1000,25.23,66.60,1.00,0.00,32.63,66.60,1.03,0.00
00:01:52.342 [TUNER] 36,1000,32.21,70.30,1.05,0.00,38.13,70.30,1.10,0.00
00:01:52.377 [TUNER] 37,1000,32.21,74.10,1.05,0.00,38.13,74.10,1.10,0.00
00:01:52.412 [TUNER] 38,1000,39.51,78.00,1.10,0.00,44.25,78.00,1.17,0.00
00:01:52.413 [TUNER] 39,1000,39.51,82.00,1.10,0.00,44.25,82.00,1.17,0.00
00:01:52.449 [TUNER] 40,1000,45.36,86.10,1.19,0.00,50.86,86.10,1.24,0.00
00:01:52.450 [TUNER] 41,1000,45.36,90.30,1.19,0.00,50.86,90.30,1.24,0.00
00:01:52.482 [TUNER] 42,1002,56.88,94.60,1.19,0.00,57.85,94.60,1.31,0.00
00:01:52.518 [TUNER] 43,1000,56.88,99.00,1.19,0.00,57.85,99.00,1.31,0.00
00:01:52.519 [TUNER] 44,998,64.42,103.50,1.26,0.00,65.20,103.50,1.38,0.00
00:01:52.552 [TUNER] 45,1000,64.42,108.10,1.26,0.00,65.20,108.10,1.38,0.00
00:01:52.588 [TUNER] 46,1000,75.59,112.80,1.29,0.00,72.78,112.80,1.46,0.00
00:01:52.588 [TUNER] 47,1000,75.59,117.60,1.29,0.00,72.78,117.60,1.46,0.00
