04:12:00.810 [TUNER] --- CSV START ---
04:12:00.810 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
04:12:00.811 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
04:12:01.956 [TUNER] 58,1000,511.56,522.52,2.29,0.00,472.97,522.52,2.75,0.00
04:12:01.957 [TUNER] 59,1000,537.72,531.53,2.20,0.00,485.80,531.53,2.88,0.00
04:12:01.991 [TUNER] 60,1000,537.72,540.54,2.20,0.00,485.80,540.54,2.88,0.00
04:12:02.031 [TUNER] 61,1000,557.82,549.55,2.19,0.00,511.96,549.55,2.82,0.00
04:12:02.032 [TUNER] 62,1000,557.82,558.56,2.19,0.00,511.96,558.56,2.82,0.00
04:12:02.065 [TUNER] 63,1000,580.21,567.57,2.14,0.00,550.96,567.57,2.58,0.00
04:12:02.065 [TUNER] 64,1000,580.21,576.58,2.14,0.00,550.96,576.58,2.58,0.00
04:12:02.096 [TUNER] 65,1000,599.51,585.59,2.13,0.00,587.78,585.59,2.34,0.00
04:12:02.097 [TUNER] 66,1000,599.51,594.59,2.13,0.00,587.78,594.59,2.34,0.00
04:12:02.133 [TUNER] 67,1000,612.57,603.60,2.20,0.00,604.60,603.60,2.37,0.00
04:12:02.167 [TUNER] 68,1000,612.57,612.61,2.20,0.00,604.60,612.61,2.37,0.00
04:12:02.168 [TUNER] 69,1000,634.64,621.62,2.16,0.00,623.17,621.62,2.38,0.00
04:12:02.203 [TUNER] 70,1000,634.64,630.63,2.16,0.00,623.17,630.63,2.38,0.00
04:12:02.203 [TUNER] 71,1000,655.40,639.64,2.13,0.00,634.77,639.64,2.49,0.00
04:12:02.236 [TUNER] 72,1002,666.71,648.65,2.10,0.00,632.77,648.65,2.66,0.00
04:12:02.237 [TUNER] 73,998,666.71,657.66,2.10,0.00,632.77,657.66,2.66,0.00
04:12:02.275 [TUNER] 74,1000,676.69,666.67,2.21,0.00,639.25,666.67,2.85,0.00
04:12:02.307 [TUNER] 75,1000,676.69,675.68,2.21,0.00,639.25,675.68,2.85,0.00
04:12:02.308 [TUNER] 76,1000,687.19,684.68,2.32,0.00,644.91,684.68,3.07,0.00
04:12:02.342 [TUNER] 77,1000,687.19,693.69,2.32,0.00,644.91,693.69,3.07,0.00
04:12:02.342 [TUNER] 78,1000,701.80,702.70,2.38,0.00,655.15,702.70,3.24,0.00
04:12:02.377 [TUNER] 79,1000,701.80,711.71,2.38,0.00,655.15,711.71,3.24,0.00
04:12:02.378 [TUNER] 80,1000,721.82,720.72,2.37,0.00,660.93,720.72,3.48,0.00
04:12:02.412 [TUNER] 81,1000,721.82,729.73,2.37,0.00,660.93,729.73,3.48,0.00
04:12:02.448 [TUNER] 82,1000,737.26,738.74,2.42,0.00,685.90,738.74,3.46,0.00
04:12:02.449 [TUNER] 83,1000,737.26,747.75,2.42,0.00,685.90,747.75,3.46,0.00
04:12:02.482 [TUNER] 84,1000,752.01,756.76,2.49,0.00,731.56,756.76,3.13,0.00
04:12:02.482 [TUNER] 85,1000,752.01,765.77,2.49,0.00,731.56,765.77,3.13,0.00
04:12:02.517 [TUNER] 86,1000,771.30,774.77,2.49,0.00,769.22,774.77,2.89,0.00
04:12:02.518 [TUNER] 87,1000,771.30,783.78,2.49,0.00,769.22,783.78,2.89,0.00
04:12:02.553 [TUNER] 88,1000,792.10,792.79,2.47,0.00,781.64,792.79,2.99,0.00
04:12:02.586 [TUNER] 89,1000,792.10,801.80,2.47,0.00,781.64,801.80,2.99,0.00
04:12:02.587 [TUNER] 90,1000,809.96,810.81,2.50,0.00,795.39,810.81,3.08,0.00
04:12:02.629 [TUNER] 91,1000,809.96,819.82,2.50,0.00,795.39,819.82,3.08,0.00
04:12:02.629 [TUNER] 92,1000,820.02,828.83,2.62,0.00,809.48,828.83,3.17,0.00
04:12:02.657 [TUNER] 93,1000,820.02,837.84,2.62,0.00,809.48,837.84,3.17,0.00
04:12:02.658 [TUNER] 94,1000,831.65,846.85,2.73,0.00,822.17,846.85,3.28,0.00
04:12:02.692 [TUNER] 95,1000,831.65,855.86,2.73,0.00,822.17,855.86,3.28,0.00
04:12:02.728 [TUNER] 96,1000,849.85,864.86,2.76,0.00,840.46,864.86,3.32,0.00
04:12:02.730 [TUNER] 97,1000,849.85,873.87,2.76,0.00,840.46,873.87,3.32,0.00
04:12:02.764 [TUNER] 98,1000,886.85,882.88,2.54,0.00,856.92,882.88,3.38,0.00
04:12:02.765 [TUNER] 99,1000,886.85,891.89,2.54,0.00,856.92,891.89,3.38,0.00
04:12:02.798 [TUNER] 100,1000,916.71,900.90,2.40,0.00,880.32,900.90,3.35,0.00
04:12:02.799 [TUNER] 101,1000,916.71,909.91,2.40,0.00,880.32,909.91,3.35,0.00
04:12:02.832 [TUNER] 102,1000,941.01,918.92,2.32,0.00,923.72,918.92,3.02,0.00
04:12:02.868 [TUNER] 103,1000,941.01,927.93,2.32,0.00,923.72,927.93,3.02,0.00
04:12:02.869 [TUNER] 104,1000,968.89,936.94,2.19,0.00,955.91,936.94,2.83,0.00
04:12:02.902 [TUNER] 105,1000,968.89,945.95,2.19,0.00,955.91,945.95,2.83,0.00
