00:00:25.631 [TUNER] --- CSV START ---
00:00:25.631 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:12.38267 I:446.36163 D:0.00000),PID_1(P:13.40700 I:479.74985 D:0.00000)
00:00:25.631 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:00:25.632 [TUNER] 0,0,0.00,0.10,0.09,0.00,0.00,0.10,0.22,0.00
00:00:25.646 [TUNER] 1,977,0.00,0.30,0.09,0.00,0.00,0.30,0.22,0.00
00:00:25.647 [TUNER] 2,1000,0.00,0.60,0.09,0.00,0.00,0.60,0.23,0.00
00:00:25.682 [TUNER] 3,1004,0.00,1.00,0.09,0.00,0.00,1.00,0.23,0.00
00:00:25.685 [TUNER] 4,996,0.00,1.50,0.11,0.00,0.00,1.50,0.25,0.00
00:00:25.716 [TUNER] 5,1000,0.00,2.10,0.12,0.00,0.00,2.10,0.26,0.00
00:00:25.752 [TUNER] 6,1000,0.00,2.80,0.12,0.00,0.00,2.80,0.26,0.00
00:00:25.754 [TUNER] 7,1000,0.00,3.60,0.14,0.00,0.00,3.60,0.28,0.00
00:00:25.789 [TUNER] 8,1000,0.00,4.50,0.14,0.00,0.00,4.50,0.28,0.00
00:00:25.790 [TUNER] 9,1000,0.00,5.50,0.17,0.00,0.00,5.50,0.31,0.00
00:00:25.822 [TUNER] 10,1000,0.00,6.60,0.17,0.00,0.00,6.60,0.31,0.00
00:00:25.823 [TUNER] 11,1000,0.00,7.80,0.21,0.00,0.00,7.80,0.35,0.00
00:00:25.857 [TUNER] 12,1000,0.00,9.10,0.21,0.00,0.00,9.10,0.35,0.00
00:00:25.891 [TUNER] 13,1000,0.00,10.50,0.25,0.00,0.00,10.50,0.40,0.00
00:00:25.891 [TUNER] 14,1000,0.00,12.00,0.25,0.00,0.00,12.00,0.40,0.00
00:00:25.926 [TUNER] 15,1000,0.00,13.60,0.31,0.00,0.00,13.60,0.46,0.00
00:00:25.926 [TUNER] 16,1000,0.00,15.30,0.31,0.00,0.00,15.30,0.46,0.00
00:00:25.962 [TUNER] 17,1070,0.00,17.10,0.37,0.00,0.00,17.10,0.53,0.00
00:00:25.998 [TUNER] 18,933,0.00,19.00,0.37,0.00,0.00,19.00,0.53,0.00
00:00:25.999 [TUNER] 19,997,0.00,21.00,0.44,0.00,0.00,21.00,0.60,0.00
00:00:26.031 [TUNER] 20,1002,0.00,23.10,0.44,0.00,0.00,23.10,0.60,0.00
00:00:26.031 [TUNER] 21,998,0.00,25.30,0.52,0.00,0.00,25.30,0.69,0.00
00:00:26.073 [TUNER] 22,1000,0.00,27.60,0.56,0.00,0.00,27.60,0.74,0.00
00:00:26.073 [TUNER] 23,1001,0.00,30.00,0.61,0.00,3.43,30.00,0.74,0.00
00:00:26.101 [TUNER] 24,999,0.00,32.50,0.61,0.00,3.43,32.50,0.74,0.00
00:00:26.141 [TUNER] 25,1000,0.00,35.10,0.71,0.00,9.62,35.10,0.75,0.00
00:00:26.142 [TUNER] 26,1000,0.00,37.80,0.71,0.00,9.62,37.80,0.75,0.00
00:00:26.172 [TUNER] 27,1000,0.00,40.60,0.82,0.00,11.13,40.60,0.84,0.00
00:00:26.172 [TUNER] 28,1000,0.00,43.50,0.82,0.00,11.13,43.50,0.84,0.00
00:00:26.206 [TUNER] 29,1000,0.00,46.50,0.94,0.00,10.62,46.50,0.96,0.00
00:00:26.241 [TUNER] 30,1000,0.00,49.60,0.94,0.00,10.62,49.60,0.96,0.00
00:00:26.242 [TUNER] 31,1000,6.87,52.80,0.98,0.00,15.37,52.80,1.03,0.00
00:00:26.277 [TUNER] 32,1000,6.87,56.10,0.98,0.00,15.37,56.10,1.03,0.00
00:00:26.277 [TUNER] 33,1000,12.37,59.50,1.04,0.00,20.89,59.50,1.09,0.00
00:00:26.312 [TUNER] 34,1000,12.37,63.00,1.04,0.00,20.89,63.00,1.09,0.00
00:00:26.312 [TUNER] 35,1000,18.49,66.60,1.10,0.00,27.02,66.60,1.15,0.00
00:00:26.348 [TUNER] 36,1000,18.49,70.30,1.10,0.00,27.02,70.30,1.15,0.00
00:00:26.382 [TUNER] 37,1000,28.53,74.10,1.12,0.00,33.64,74.10,1.20,0.00
00:00:26.382 [TUNER] 38,1000,28.53,78.00,1.12,0.00,33.64,78.00,1.20,0.00
00:00:26.415 [TUNER] 39,1000,43.44,82.00,1.08,0.00,40.66,82.00,1.26,0.00
00:00:26.416 [TUNER] 40,1000,43.44,86.10,1.08,0.00,40.66,86.10,1.26,0.00
00:00:26.450 [TUNER] 41,1000,58.81,90.30,1.03,0.00,47.99,90.30,1.32,0.00
00:00:26.487 [TUNER] 42,1000,58.81,94.60,1.03,0.00,47.99,94.60,1.32,0.00
00:00:26.488 [TUNER] 43,1000,72.82,99.00,0.99,0.00,62.44,99.00,1.29,0.00
00:00:26.521 [TUNER] 44,1000,72.82,103.50,0.99,0.00,62.44,103.50,1.29,0.00
00:00:26.521 [TUNER] 45,1000,84.02,108.10,1.00,0.00,72.29,108.10,1.32,0.00
00:00:26.556 [TUNER] 46,1000,84.02,112.80,1.00,0.00,72.29,112.80,1.32,0.00
00:00:26.591 [TUNER] 47,1000,91.27,117.60,1.06,0.00,80.17,117.60,1.39,0.00
00:00:26.592 [TUNER] 48,1000,91.27,122.50,1.06,0.00,80.17,122.50,1.39,0.00
00:00:26.627 [TUNER] 49,1000,98.79,127.50,1.12,0.00,91.62,127.50,1.41,0.00
00:00:26.628 [TUNER] 50,1000,98.79,132.60,1.12,0.00,91.62,132.60,1.41,0.00
00:00:26.662 [TUNER] 51,1000,106.52,137.80,1.19,0.00,102.50,137.80,1.45,0.00
00:00:26.662 [TUNER] 52,1000,106.52,143.10,1.19,0.00,102.50,143.10,1.45,0.00
00:00:26.695 [TUNER] 53,1000,119.58,148.50,1.20,0.00,114.65,148.50,1.47,0.00
00:00:26.734 [TUNER] 54,1000,119.58,154.00,1.20,0.00,114.65,154.00,1.47,0.00
00:00:26.735 [TUNER] 55,1000,135.18,159.60,1.18,0.00,134.67,159.60,1.39,0.00
00:00:26.765 [TUNER] 56,1000,135.18,165.30,1.18,0.00,134.67,165.30,1.39,0.00
00:00:26.766 [TUNER] 57,1000,151.09,171.10,1.15,0.00,142.10,171.10,1.48,0.00
00:00:26.802 [TUNER] 58,1000,151.09,177.00,1.15,0.00,142.10,177.00,1.48,0.00
00:00:26.802 [TUNER] 59,1000,163.83,183.00,1.17,0.00,151.47,183.00,1.56,0.00
00:00:26.835 [TUNER] 60,1000,163.83,189.10,1.17,0.00,151.47,189.10,1.56,0.00
00:00:26.873 [TUNER] 61,1000,168.86,195.30,1.30,0.00,164.13,195.30,1.60,0.00
00:00:26.873 [TUNER] 62,1000,168.86,201.60,1.30,0.00,164.13,201.60,1.60,0.00
00:00:26.906 [TUNER] 63,1000,174.60,208.00,1.43,0.00,182.85,208.00,1.55,0.00
00:00:26.906 [TUNER] 64,1000,174.60,214.50,1.43,0.00,182.85,214.50,1.55,0.00
00:00:26.942 [TUNER] 65,1000,179.20,221.10,1.58,0.00,184.07,221.10,1.76,0.00
00:00:26.942 [TUNER] 66,1000,179.20,227.80,1.58,0.00,184.07,227.80,1.76,0.00
00:00:26.976 [TUNER] 67,1000,181.15,234.60,1.79,0.00,195.37,234.60,1.84,0.00
00:00:27.012 [TUNER] 68,1000,181.15,241.50,1.79,0.00,195.37,241.50,1.84,0.00
00:00:27.013 [TUNER] 69,1000,191.31,248.50,1.90,0.00,206.12,248.50,1.94,0.00
00:00:27.047 [TUNER] 70,1000,214.84,255.60,1.72,0.00,209.52,255.60,2.02,0.00
00:00:27.048 [TUNER] 71,1000,214.84,262.80,1.72,0.00,209.52,262.80,2.02,0.00
00:00:27.083 [TUNER] 72,1000,238.91,270.10,1.64,0.00,214.02,270.10,2.22,0.00
00:00:27.084 [TUNER] 73,1000,238.91,277.50,1.64,0.00,214.02,277.50,2.22,0.00
00:00:27.118 [TUNER] 74,1000,258.13,285.00,1.63,0.00,231.35,285.00,2.25,0.00
00:00:27.152 [TUNER] 75,1000,258.13,292.60,1.63,0.00,231.35,292.60,2.25,0.00
00:00:27.152 [TUNER] 76,1000,278.66,300.30,1.60,0.00,245.21,300.30,2.34,0.00
00:00:27.186 [TUNER] 77,1000,278.66,308.10,1.60,0.00,245.21,308.10,2.34,0.00
00:00:27.186 [TUNER] 78,1000,296.81,316.00,1.60,0.00,264.89,316.00,2.35,0.00
00:00:27.223 [TUNER] 79,1000,296.81,324.00,1.60,0.00,264.89,324.00,2.35,0.00
00:00:27.224 [TUNER] 80,1000,319.91,332.10,1.54,0.00,290.95,332.10,2.27,0.00
00:00:27.256 [TUNER] 81,1000,319.91,340.30,1.54,0.00,290.95,340.30,2.27,0.00
00:00:27.292 [TUNER] 82,1000,333.24,348.60,1.61,0.00,320.38,348.60,2.14,0.00
00:00:27.292 [TUNER] 83,999,333.24,357.00,1.61,0.00,320.38,357.00,2.14,0.00
00:00:27.326 [TUNER] 84,1001,345.62,365.50,1.70,0.00,359.39,365.50,1.87,0.00
00:00:27.326 [TUNER] 85,1000,345.62,374.10,1.70,0.00,359.39,374.10,1.87,0.00
00:00:27.362 [TUNER] 86,1000,357.25,382.80,1.81,0.00,397.46,382.80,1.59,0.00
00:00:27.362 [TUNER] 87,1000,357.25,391.60,1.81,0.00,397.46,391.60,1.59,0.00
00:00:27.396 [TUNER] 88,1000,368.27,400.50,1.94,0.00,397.00,400.50,1.85,0.00
00:00:27.432 [TUNER] 89,1000,368.27,409.50,1.94,0.00,397.00,409.50,1.85,0.00
00:00:27.432 [TUNER] 90,1000,378.80,418.60,2.09,0.00,393.20,418.60,2.19,0.00
00:00:27.466 [TUNER] 91,1000,378.80,427.80,2.09,0.00,393.20,427.80,2.19,0.00
00:00:27.467 [TUNER] 92,1000,390.66,437.10,2.23,0.00,400.46,437.10,2.39,0.00
00:00:27.505 [TUNER] 93,1000,390.66,446.50,2.23,0.00,400.46,446.50,2.39,0.00
00:00:27.505 [TUNER] 94,1000,412.17,456.00,2.26,0.00,413.14,456.00,2.54,0.00
00:00:27.536 [TUNER] 95,1000,412.17,465.60,2.26,0.00,413.14,465.60,2.54,0.00
00:00:27.570 [TUNER] 96,1000,437.98,475.30,2.23,0.00,431.88,475.30,2.61,0.00
00:00:27.571 [TUNER] 97,1000,437.98,485.10,2.23,0.00,431.88,485.10,2.61,0.00
00:00:27.607 [TUNER] 98,1000,467.21,495.00,2.15,0.00,455.46,495.00,2.61,0.00
00:00:27.607 [TUNER] 99,1000,467.21,505.00,2.15,0.00,455.46,505.00,2.61,0.00
00:00:27.641 [TUNER] 100,1000,504.34,515.10,1.97,0.00,484.63,515.10,2.54,0.00
00:00:27.642 [TUNER] 101,1000,504.34,525.30,1.97,0.00,484.63,525.30,2.54,0.00
00:00:27.676 [TUNER] 102,1000,532.33,535.60,1.90,0.00,525.15,535.60,2.30,0.00
00:00:27.712 [TUNER] 103,1000,532.33,546.00,1.90,0.00,525.15,546.00,2.30,0.00
00:00:27.712 [TUNER] 104,1000,559.87,556.50,1.84,0.00,554.13,556.50,2.21,0.00
00:00:27.746 [TUNER] 105,1000,559.87,567.10,1.84,0.00,554.13,567.10,2.21,0.00
00:00:27.747 [TUNER] 106,1000,583.62,577.80,1.83,0.00,580.75,577.80,2.16,0.00
00:00:27.783 [TUNER] 107,1000,583.62,588.60,1.83,0.00,580.75,588.60,2.16,0.00
00:00:27.783 [TUNER] 108,1000,580.29,599.50,2.18,0.00,593.45,599.50,2.31,0.00
00:00:27.816 [TUNER] 109,1000,580.29,610.50,2.18,0.00,593.45,610.50,2.31,0.00
00:00:27.853 [TUNER] 110,1000,577.62,621.60,2.54,0.00,607.05,621.60,2.46,0.00
00:00:27.853 [TUNER] 111,1000,577.62,632.80,2.54,0.00,607.05,632.80,2.46,0.00
00:00:27.888 [TUNER] 112,1000,611.57,644.10,2.45,0.00,612.78,644.10,2.74,0.00
00:00:27.922 [TUNER] 113,1000,611.57,655.50,2.45,0.00,612.78,655.50,2.74,0.00
00:00:27.922 [TUNER] 114,1000,642.16,667.00,2.40,0.00,619.08,667.00,3.03,0.00
00:00:27.923 [TUNER] 115,1000,642.16,678.60,2.40,0.00,619.08,678.60,3.03,0.00
00:00:27.958 [TUNER] 116,1000,647.74,690.30,2.68,0.00,648.17,690.30,3.01,0.00
00:00:27.992 [TUNER] 117,1000,647.74,702.10,2.68,0.00,648.17,702.10,3.01,0.00
00:00:27.992 [TUNER] 118,1000,648.76,714.00,3.05,0.00,668.01,714.00,3.13,0.00
00:00:28.026 [TUNER] 119,1000,648.76,726.00,3.05,0.00,668.01,726.00,3.13,0.00
00:00:28.027 [TUNER] 120,1000,668.48,738.00,3.19,0.00,687.31,738.00,3.27,0.00
00:00:28.063 [TUNER] 121,1000,668.48,750.00,3.19,0.00,687.31,750.00,3.27,0.00
00:00:28.064 [TUNER] 122,1000,716.90,762.00,2.95,0.00,718.22,762.00,3.24,0.00
00:00:28.097 [TUNER] 123,1000,716.90,774.00,2.95,0.00,718.22,774.00,3.24,0.00
00:00:28.134 [TUNER] 124,1000,783.12,786.00,2.45,0.00,760.13,786.00,3.05,0.00
00:00:28.138 [TUNER] 125,1000,783.12,798.00,2.45,0.00,760.13,798.00,3.05,0.00
00:00:28.167 [TUNER] 126,1000,863.59,810.00,1.73,0.00,828.01,810.00,2.47,0.00
00:00:28.167 [TUNER] 127,1000,863.59,822.00,1.73,0.00,828.01,822.00,2.47,0.00
00:00:28.204 [TUNER] 128,1000,922.81,834.00,1.24,0.00,892.63,834.00,1.89,0.00
00:00:28.204 [TUNER] 129,1000,922.81,846.00,1.24,0.00,892.63,846.00,1.89,0.00
00:00:28.237 [TUNER] 130,1000,940.98,858.00,1.26,0.00,915.12,858.00,1.88,0.00
00:00:28.272 [TUNER] 131,1000,940.98,870.00,1.26,0.00,915.12,870.00,1.88,0.00
00:00:28.272 [TUNER] 132,1000,886.79,882.00,2.25,0.00,909.05,882.00,2.28,0.00
00:00:28.307 [TUNER] 133,1000,886.79,894.00,2.25,0.00,909.05,894.00,2.28,0.00
00:00:28.307 [TUNER] 134,1000,845.16,906.00,3.14,0.00,904.20,906.00,2.69,0.00
00:00:28.342 [TUNER] 135,1000,845.16,918.00,3.14,0.00,904.20,918.00,2.69,0.00
00:00:28.343 [TUNER] 136,1000,841.06,930.00,3.59,0.00,896.89,930.00,3.17,0.00
00:00:28.378 [TUNER] 137,1000,841.06,942.00,3.59,0.00,896.89,942.00,3.17,0.00
00:00:28.413 [TUNER] 138,1000,870.43,954.00,3.62,0.00,885.88,954.00,3.72,0.00
00:00:28.414 [TUNER] 139,1000,870.43,966.00,3.62,0.00,885.88,966.00,3.72,0.00
00:00:28.448 [TUNER] 140,1000,924.61,978.00,3.32,0.00,900.93,978.00,3.94,0.00
00:00:28.450 [TUNER] 141,1000,924.61,990.00,3.32,0.00,900.93,990.00,3.94,0.00
00:00:28.482 [TUNER] 142,1000,980.46,1002.00,2.97,0.00,940.88,1002.00,3.81,0.00
00:00:28.518 [TUNER] 143,1000,980.46,1014.00,2.97,0.00,940.88,1014.00,3.81,0.00
00:00:28.519 [TUNER] 144,1000,1019.74,1026.00,2.81,0.00,1013.85,1026.00,3.19,0.00
00:00:28.552 [TUNER] 145,1000,1019.74,1038.00,2.81,0.00,1013.85,1038.00,3.19,0.00
