00:06:54.936 [TUNER] --- CSV START ---
00:06:54.937 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:10.47029 I:327.93915 D:0.00000),PID_1(P:11.35157 I:352.46927 D:0.00000)
00:06:54.938 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:06:56.109 [TUNER] 57,1000,121.92,171.10,1.28,0.00,124.32,171.10,1.44,0.00
00:06:56.110 [TUNER] 58,1000,133.62,177.00,1.32,0.00,133.82,177.00,1.51,0.00
00:06:56.142 [TUNER] 59,1000,133.62,183.00,1.32,0.00,133.82,183.00,1.51,0.00
00:06:56.178 [TUNER] 60,1000,142.97,189.10,1.40,0.00,144.85,189.10,1.56,0.00
00:06:56.179 [TUNER] 61,1000,142.97,195.30,1.40,0.00,144.85,195.30,1.56,0.00
00:06:56.214 [TUNER] 62,1000,151.97,201.60,1.48,0.00,160.31,201.60,1.57,0.00
00:06:56.215 [TUNER] 63,1000,151.97,208.00,1.48,0.00,160.31,208.00,1.57,0.00
00:06:56.250 [TUNER] 64,1000,159.58,214.50,1.58,0.00,178.34,214.50,1.55,0.00
00:06:56.251 [TUNER] 65,1000,159.58,221.10,1.58,0.00,178.34,221.10,1.55,0.00
00:06:56.283 [TUNER] 66,1000,180.92,227.80,1.54,0.00,178.75,227.80,1.75,0.00
00:06:56.320 [TUNER] 67,1000,180.92,234.60,1.54,0.00,178.75,234.60,1.75,0.00
00:06:56.320 [TUNER] 68,1000,201.44,241.50,1.51,0.00,187.67,241.50,1.85,0.00
00:06:56.354 [TUNER] 69,1000,201.44,248.50,1.51,0.00,187.67,248.50,1.85,0.00
00:06:56.354 [TUNER] 70,1000,224.72,255.60,1.45,0.00,205.12,255.60,1.86,0.00
00:06:56.387 [TUNER] 71,1000,224.72,262.80,1.45,0.00,205.12,262.80,1.86,0.00
00:06:56.423 [TUNER] 72,1000,241.62,270.10,1.46,0.00,217.35,270.10,1.94,0.00
