00:05:42.225 [TUNER] --- CSV START ---
00:05:42.225 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:11.35292 I:380.33182 D:0.00000),PID_1(P:12.30023 I:408.78094 D:0.00000)
00:05:42.226 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:05:42.227 [TUNER] 0,0,0.00,0.10,0.09,0.00,0.00,0.10,0.22,0.00
00:05:42.258 [TUNER] 1,975,0.00,0.30,0.09,0.00,0.00,0.30,0.22,0.00
00:05:42.258 [TUNER] 2,1000,0.00,0.60,0.09,0.00,0.00,0.60,0.23,0.00
00:05:42.298 [TUNER] 3,1000,0.00,1.00,0.09,0.00,0.00,1.00,0.23,0.00
00:05:42.302 [TUNER] 4,1000,0.00,1.50,0.11,0.00,0.00,1.50,0.24,0.00
00:05:42.327 [TUNER] 5,1000,0.00,2.10,0.11,0.00,0.00,2.10,0.24,0.00
00:05:42.401 [TUNER] 6,1000,0.00,2.80,0.12,0.00,0.00,2.80,0.26,0.00
00:05:42.402 [TUNER] 7,1000,0.00,3.60,0.12,0.00,0.00,3.60,0.26,0.00
00:05:42.404 [TUNER] 8,1000,0.00,4.50,0.15,0.00,0.00,4.50,0.29,0.00
00:05:42.404 [TUNER] 9,1000,0.00,5.50,0.15,0.00,0.00,5.50,0.29,0.00
00:05:42.434 [TUNER] 10,1000,0.00,6.60,0.18,0.00,0.00,6.60,0.32,0.00
00:05:42.467 [TUNER] 11,1064,0.00,7.80,0.20,0.00,0.00,7.80,0.34,0.00
00:05:42.468 [TUNER] 12,936,0.00,9.10,0.20,0.00,0.00,9.10,0.34,0.00
00:05:42.502 [TUNER] 13,1002,0.00,10.50,0.24,0.00,0.00,10.50,0.39,0.00
00:05:42.502 [TUNER] 14,1002,0.00,12.00,0.24,0.00,0.00,12.00,0.39,0.00
00:05:42.538 [TUNER] 15,996,0.00,13.60,0.29,0.00,0.00,13.60,0.44,0.00
00:05:42.573 [TUNER] 16,1000,0.00,15.30,0.29,0.00,0.00,15.30,0.44,0.00
00:05:42.573 [TUNER] 17,1000,0.00,17.10,0.34,0.00,0.00,17.10,0.50,0.00
00:05:42.607 [TUNER] 18,1000,0.00,19.00,0.34,0.00,0.00,19.00,0.50,0.00
00:05:42.608 [TUNER] 19,1000,0.00,21.00,0.41,0.00,0.00,21.00,0.57,0.00
