23:56:14.692 [TUNER] --- CSV START ---
23:56:14.692 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:15.02310 I:641.27429 D:0.00000),PID_1(P:16.24510 I:689.23749 D:0.00000)
23:56:14.692 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
23:56:15.827 [TUNER] 57,1000,0.00,171.10,4.87,0.00,0.00,171.10,5.37,0.00
23:56:15.863 [TUNER] 58,1000,0.00,177.00,5.29,0.00,0.00,177.00,5.81,0.00
23:56:15.897 [TUNER] 59,1000,0.00,183.00,5.29,0.00,0.00,183.00,5.81,0.00
23:56:15.898 [TUNER] 60,1000,0.00,189.10,5.72,0.00,0.00,189.10,6.28,0.00
23:56:15.931 [TUNER] 61,1000,0.00,195.30,5.72,0.00,0.00,195.30,6.28,0.00
23:56:15.932 [TUNER] 62,1000,0.00,201.60,6.18,0.00,0.00,201.60,6.77,0.00
23:56:15.969 [TUNER] 63,1000,0.00,208.00,6.18,0.00,0.00,208.00,6.77,0.00
23:56:15.969 [TUNER] 64,1000,0.00,214.50,6.66,0.00,0.00,214.50,7.29,0.00
23:56:16.004 [TUNER] 65,1000,0.00,221.10,6.66,0.00,0.00,221.10,7.29,0.00
23:56:16.035 [TUNER] 66,1000,0.00,227.80,7.17,0.01,0.00,227.80,7.84,0.01
23:56:16.036 [TUNER] 67,1000,0.00,234.60,7.17,0.01,0.00,234.60,7.84,0.01
23:56:16.071 [TUNER] 68,1000,0.00,241.50,7.70,0.01,0.00,241.50,8.40,0.01
23:56:16.072 [TUNER] 69,1000,0.00,248.50,7.70,0.01,0.00,248.50,8.40,0.01
23:56:16.105 [TUNER] 70,1000,0.00,255.60,8.25,0.01,0.00,255.60,9.00,0.01
23:56:16.106 [TUNER] 71,1000,0.00,262.80,8.25,0.01,0.00,262.80,9.00,0.01
23:56:16.141 [TUNER] 72,1002,0.00,270.10,8.84,0.01,0.00,270.10,9.63,0.01
23:56:16.176 [TUNER] 73,998,0.00,277.50,8.84,0.01,0.00,277.50,9.63,0.01
23:56:16.177 [TUNER] 74,1000,0.00,285.00,9.44,0.01,0.00,285.00,10.27,0.01
23:56:16.211 [TUNER] 75,1000,0.00,292.60,9.44,0.01,0.00,292.60,10.27,0.01
23:56:16.250 [TUNER] 76,1000,0.00,300.30,10.07,0.01,0.00,300.30,10.95,0.01
23:56:16.251 [TUNER] 77,1000,0.00,308.10,10.07,0.01,0.00,308.10,10.95,0.01
23:56:16.252 [TUNER] 78,1000,0.00,316.00,10.72,0.01,0.00,316.00,11.66,0.01
23:56:16.282 [TUNER] 79,1000,0.00,324.00,10.72,0.01,0.00,324.00,11.66,0.01
23:56:16.316 [TUNER] 80,1000,0.00,332.10,11.41,0.01,0.00,332.10,12.39,0.01
23:56:16.318 [TUNER] 81,1000,0.00,340.30,11.41,0.01,0.00,340.30,12.39,0.01
23:56:16.352 [TUNER] 82,1000,0.00,348.60,12.12,0.01,0.00,348.60,13.15,0.01
23:56:16.352 [TUNER] 83,1000,0.00,357.00,12.12,0.01,0.00,357.00,13.15,0.01
23:56:16.386 [TUNER] 84,1000,0.00,365.50,12.86,0.01,0.00,365.50,13.95,0.01
23:56:16.387 [TUNER] 85,1000,0.00,374.10,12.86,0.01,0.00,374.10,13.95,0.01
23:56:16.421 [TUNER] 86,1000,0.00,382.80,13.63,0.01,0.00,382.80,14.78,0.01
23:56:16.456 [TUNER] 87,1000,0.00,391.60,13.63,0.01,0.00,391.60,14.78,0.01
23:56:16.456 [TUNER] 88,1000,0.00,400.50,14.42,0.01,0.00,400.50,15.63,0.01
23:56:16.490 [TUNER] 89,1000,0.00,409.50,14.42,0.01,0.00,409.50,15.63,0.01
23:56:16.491 [TUNER] 90,1000,0.00,418.60,15.25,0.01,0.00,418.60,16.00,0.01
23:56:16.528 [TUNER] 91,1000,0.00,427.80,15.25,0.01,0.00,427.80,16.00,0.01
23:56:16.528 [TUNER] 92,1000,0.00,437.10,16.00,0.01,0.00,437.10,16.00,0.01
23:56:16.561 [TUNER] 93,1000,0.00,446.50,16.00,0.01,0.00,446.50,16.00,0.01
23:56:16.596 [TUNER] 94,1000,0.00,456.00,16.00,0.01,0.00,456.00,16.00,0.01
23:56:16.597 [TUNER] 95,1000,0.00,465.60,16.00,0.01,0.00,465.60,16.00,0.01
23:56:16.634 [TUNER] 96,1000,0.00,475.30,16.00,0.02,0.00,475.30,16.00,0.02
23:56:16.636 [TUNER] 97,1000,0.00,485.10,16.00,0.02,0.00,485.10,16.00,0.02
23:56:16.667 [TUNER] 98,1000,0.00,495.00,16.00,0.02,0.00,495.00,16.00,0.02
23:56:16.668 [TUNER] 99,1000,0.00,505.00,16.00,0.02,0.00,505.00,16.00,0.02
23:56:16.701 [TUNER] 100,1000,0.00,515.10,16.00,0.02,0.00,515.10,16.00,0.02
23:56:16.737 [TUNER] 101,1000,0.00,525.30,16.00,0.02,0.00,525.30,16.00,0.02
23:56:16.737 [TUNER] 102,1000,0.00,535.60,16.00,0.02,0.00,535.60,16.00,0.02
23:56:16.772 [TUNER] 103,1000,0.00,546.00,16.00,0.02,0.00,546.00,16.00,0.02
23:56:16.772 [TUNER] 104,1000,0.00,556.50,16.00,0.02,0.00,556.50,16.00,0.02
23:56:16.807 [TUNER] 105,1000,0.00,567.10,16.00,0.02,0.00,567.10,16.00,0.02
23:56:16.808 [TUNER] 106,1000,0.00,577.80,16.00,0.02,0.00,577.80,16.00,0.02
23:56:16.840 [TUNER] 107,1000,0.00,588.60,16.00,0.02,0.00,588.60,16.00,0.02
23:56:16.876 [TUNER] 108,1000,0.00,599.50,16.00,0.02,0.00,599.50,16.00,0.02
23:56:16.876 [TUNER] 109,1000,0.00,610.50,16.00,0.02,0.00,610.50,16.00,0.02
23:56:16.911 [TUNER] 110,1000,0.00,621.60,16.00,0.02,0.00,621.60,16.00,0.02
23:56:16.912 [TUNER] 111,1000,0.00,632.80,16.00,0.02,0.00,632.80,16.00,0.02
23:56:16.948 [TUNER] 112,1000,0.00,644.10,16.00,0.03,0.00,644.10,16.00,0.03
23:56:16.950 [TUNER] 113,1000,0.00,655.50,16.00,0.03,0.00,655.50,16.00,0.03
23:56:16.981 [TUNER] 114,1000,0.00,667.00,16.00,0.03,0.00,667.00,16.00,0.03
23:56:17.016 [TUNER] 115,1000,0.00,678.60,16.00,0.03,0.00,678.60,16.00,0.03
23:56:17.017 [TUNER] 116,1000,0.00,690.30,16.00,0.03,0.00,690.30,16.00,0.03
23:56:17.053 [TUNER] 117,1000,0.00,702.10,16.00,0.03,0.00,702.10,16.00,0.03
23:56:17.053 [TUNER] 118,1000,0.00,714.00,16.00,0.03,0.00,714.00,16.00,0.03
23:56:17.089 [TUNER] 119,1000,0.00,726.00,16.00,0.03,0.00,726.00,16.00,0.03
23:56:17.091 [TUNER] 120,1000,0.00,738.00,16.00,0.03,0.00,738.00,16.00,0.03
23:56:17.121 [TUNER] 121,1000,0.00,750.00,16.00,0.03,0.00,750.00,16.00,0.03
23:56:17.156 [TUNER] 122,1000,0.00,762.00,16.00,0.03,0.00,762.00,16.00,0.03
23:56:17.157 [TUNER] 123,1000,0.00,774.00,16.00,0.03,0.00,774.00,16.00,0.03
23:56:17.191 [TUNER] 124,1000,0.00,786.00,16.00,0.03,0.00,786.00,16.00,0.03
23:56:17.191 [TUNER] 125,1000,0.00,798.00,16.00,0.03,0.00,798.00,16.00,0.03
23:56:17.226 [TUNER] 126,1000,0.00,810.00,16.00,0.04,0.00,810.00,16.00,0.04
23:56:17.226 [TUNER] 127,1000,0.00,822.00,16.00,0.04,0.00,822.00,16.00,0.04
23:56:17.262 [TUNER] 128,1000,0.00,834.00,16.00,0.04,0.00,834.00,16.00,0.04
23:56:17.296 [TUNER] 129,1000,0.00,846.00,16.00,0.04,0.00,846.00,16.00,0.04
23:56:17.298 [TUNER] 130,1000,0.00,858.00,16.00,0.04,0.00,858.00,16.00,0.04
23:56:17.331 [TUNER] 131,1000,0.00,870.00,16.00,0.04,0.00,870.00,16.00,0.04
23:56:17.332 [TUNER] 132,1000,0.00,882.00,16.00,0.04,0.00,882.00,16.00,0.04
23:56:17.367 [TUNER] 133,1000,0.00,894.00,16.00,0.04,0.00,894.00,16.00,0.04
23:56:17.368 [TUNER] 134,1000,0.00,906.00,16.00,0.04,0.00,906.00,16.00,0.04
23:56:17.402 [TUNER] 135,1000,0.00,918.00,16.00,0.04,0.00,918.00,16.00,0.04
23:56:17.436 [TUNER] 136,1000,0.00,930.00,16.00,0.04,0.00,930.00,16.00,0.04
23:56:17.437 [TUNER] 137,1000,0.00,942.00,16.00,0.04,0.00,942.00,16.00,0.04
23:56:17.475 [TUNER] 138,1000,0.00,954.00,16.00,0.05,0.00,954.00,16.00,0.05
23:56:17.476 [TUNER] 139,1000,0.00,966.00,16.00,0.05,0.00,966.00,16.00,0.05
23:56:17.506 [TUNER] 140,1000,0.00,978.00,16.00,0.05,0.00,978.00,16.00,0.05
23:56:17.506 [TUNER] 141,1000,0.00,990.00,16.00,0.05,0.00,990.00,16.00,0.05
23:56:17.541 [TUNER] 142,1002,0.00,1002.00,16.00,0.05,0.00,1002.00,16.00,0.05
23:56:17.576 [TUNER] 143,998,0.00,1014.00,16.00,0.05,0.00,1014.00,16.00,0.05
23:56:17.578 [TUNER] 144,1000,0.00,1026.00,16.00,0.05,0.00,1026.00,16.00,0.05
23:56:17.612 [TUNER] 145,1000,0.00,1038.00,16.00,0.05,0.00,1038.00,16.00,0.05
23:56:17.612 [TUNER] 146,1000,0.00,1050.00,16.00,0.05,0.00,1050.00,16.00,0.05
23:56:17.648 [TUNER] 147,1000,0.00,1062.00,16.00,0.05,0.00,1062.00,16.00,0.05
23:56:17.648 [TUNER] 148,1000,0.00,1074.00,16.00,0.06,0.00,1074.00,16.00,0.06
23:56:17.682 [TUNER] 149,1000,0.00,1086.00,16.00,0.06,0.00,1086.00,16.00,0.06
23:56:17.716 [TUNER] 150,1000,0.00,1098.00,16.00,0.06,0.00,1098.00,16.00,0.06
23:56:17.720 [TUNER] 151,1000,0.00,1110.00,16.00,0.06,0.00,1110.00,16.00,0.06
23:56:17.752 [TUNER] 152,1000,0.00,1122.00,16.00,0.06,0.00,1122.00,16.00,0.06
23:56:17.752 [TUNER] 153,1000,0.00,1134.00,16.00,0.06,0.00,1134.00,16.00,0.06
23:56:17.787 [TUNER] 154,1000,0.00,1146.00,16.00,0.06,0.00,1146.00,16.00,0.06
23:56:17.788 [TUNER] 155,1000,0.00,1158.00,16.00,0.06,0.00,1158.00,16.00,0.06
23:56:17.821 [TUNER] 156,1000,0.00,1170.00,16.00,0.07,0.00,1170.00,16.00,0.07
23:56:17.858 [TUNER] 157,1000,0.00,1182.00,16.00,0.07,0.00,1182.00,16.00,0.07
23:56:17.858 [TUNER] 158,1000,0.00,1194.00,16.00,0.07,0.00,1194.00,16.00,0.07
23:56:17.891 [TUNER] 159,1000,0.00,1206.00,16.00,0.07,0.00,1206.00,16.00,0.07
23:56:17.891 [TUNER] 160,1000,0.00,1218.00,16.00,0.07,0.00,1218.00,16.00,0.07
23:56:17.927 [TUNER] 161,1000,0.00,1230.00,16.00,0.07,0.00,1230.00,16.00,0.07
23:56:17.927 [TUNER] 162,1000,0.00,1242.00,16.00,0.07,0.00,1242.00,16.00,0.07
23:56:17.961 [TUNER] 163,1000,0.00,1254.00,16.00,0.07,0.00,1254.00,16.00,0.07
23:56:17.997 [TUNER] 164,1000,0.00,1266.00,16.00,0.08,0.00,1266.00,16.00,0.08
23:56:17.997 [TUNER] 165,1000,0.00,1278.00,16.00,0.08,0.00,1278.00,16.00,0.08
23:56:18.032 [TUNER] 166,1000,0.00,1290.00,16.00,0.08,0.00,1290.00,16.00,0.08
23:56:18.032 [TUNER] 167,1000,0.00,1301.90,16.00,0.08,0.00,1301.90,16.00,0.08
23:56:18.066 [TUNER] 168,1000,0.00,1313.70,16.00,0.08,0.00,1313.70,16.00,0.08
23:56:18.066 [TUNER] 169,1000,0.00,1325.40,16.00,0.08,0.00,1325.40,16.00,0.08
23:56:18.102 [TUNER] 170,1000,0.00,1337.00,16.00,0.08,0.00,1337.00,16.00,0.08
23:56:18.136 [TUNER] 171,1000,0.00,1348.50,16.00,0.08,0.00,1348.50,16.00,0.08
23:56:18.137 [TUNER] 172,1000,0.00,1359.90,16.00,0.08,0.00,1359.90,16.00,0.08
23:56:18.172 [TUNER] 173,1000,0.00,1371.20,16.00,0.08,0.00,1371.20,16.00,0.08
23:56:18.173 [TUNER] 174,1000,0.00,1382.40,16.00,0.08,0.00,1382.40,16.00,0.08
23:56:18.210 [TUNER] 175,1000,0.00,1393.50,16.00,0.08,0.00,1393.50,16.00,0.08
23:56:18.212 [TUNER] 176,1000,0.00,1404.50,16.00,0.08,0.00,1404.50,16.00,0.08
23:56:18.241 [TUNER] 177,1000,0.00,1415.40,16.00,0.08,0.00,1415.40,16.00,0.08
23:56:18.277 [TUNER] 178,1000,0.00,1426.20,16.00,0.08,0.00,1426.20,16.00,0.08
23:56:18.277 [TUNER] 179,1000,0.00,1436.90,16.00,0.08,0.00,1436.90,16.00,0.08
23:56:18.311 [TUNER] 180,1000,0.00,1447.50,16.00,0.08,0.00,1447.50,16.00,0.08
23:56:18.312 [TUNER] 181,1000,0.00,1458.00,16.00,0.08,0.00,1458.00,16.00,0.08
23:56:18.346 [TUNER] 182,1000,0.00,1468.40,16.00,0.08,0.00,1468.40,16.00,0.08
23:56:18.347 [TUNER] 183,1000,0.00,1478.70,16.00,0.08,0.00,1478.70,16.00,0.08
23:56:18.382 [TUNER] 184,1000,0.00,1488.90,16.00,0.08,0.00,1488.90,16.00,0.08
23:56:18.417 [TUNER] 185,1000,0.00,1499.00,16.00,0.08,0.00,1499.00,16.00,0.08
23:56:18.418 [TUNER] 186,1000,0.00,1509.00,16.00,0.08,0.00,1509.00,16.00,0.08
23:56:18.453 [TUNER] 187,1000,0.00,1518.90,16.00,0.08,0.00,1518.90,16.00,0.08
23:56:18.453 [TUNER] 188,1000,0.00,1528.70,16.00,0.08,0.00,1528.70,16.00,0.08
