22:17:38.447 [MCH] --- CSV START ---
22:17:38.448 [MCH] Metadata,Voltage:0.5V,Duration:2000ms
22:17:38.448 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:17:40.679 [MCH] 114,10025,0.000,0.000
22:17:40.722 [MCH] 115,9975,0.000,0.000
22:17:40.723 [MCH] 116,10000,0.000,0.000
22:17:40.766 [MCH] 117,10000,0.000,0.000
22:17:40.767 [MCH] 118,10000,0.000,0.000
22:17:40.805 [MCH] 119,10000,0.000,0.000
22:17:40.806 [MCH] 120,10000,0.000,0.000
22:17:40.849 [MCH] 121,10000,0.000,0.000
22:17:40.850 [MCH] 122,10000,0.000,0.000
22:17:40.893 [MCH] 123,10000,0.000,0.000
22:17:40.893 [MCH] 124,10000,0.000,0.000
22:17:40.934 [MCH] 125,10000,0.000,0.000
22:17:40.934 [MCH] 126,10000,0.000,0.000
22:17:40.935 [MCH] 127,10000,0.000,0.000
22:17:40.977 [MCH] 128,10000,0.000,0.000
22:17:40.979 [MCH] 129,10000,0.000,0.000
22:17:41.020 [MCH] 130,10000,0.000,0.000
22:17:41.020 [MCH] 131,10026,0.000,0.000
22:17:41.062 [MCH] 132,9974,0.000,0.000
22:17:41.063 [MCH] 133,10000,0.000,0.000
22:17:41.105 [MCH] 134,10000,0.000,0.000
22:17:41.107 [MCH] 135,10000,0.000,0.000
22:17:41.145 [MCH] 136,10000,0.000,0.000
22:17:41.146 [MCH] 137,10000,0.000,0.000
22:17:41.190 [MCH] 138,10000,0.000,0.000
22:17:41.191 [MCH] 139,10000,0.000,0.000
22:17:41.231 [MCH] 140,10000,0.000,0.000
22:17:41.231 [MCH] 141,10000,0.000,0.000
22:17:41.276 [MCH] 142,10000,0.000,0.000
22:17:41.277 [MCH] 143,10000,0.000,0.000
22:17:41.277 [MCH] 144,10013,0.000,0.000
22:17:41.315 [MCH] 145,9996,0.000,0.000
22:17:41.316 [MCH] 146,9991,0.000,0.000
22:17:41.358 [MCH] 147,10000,0.000,0.000
22:17:41.359 [MCH] 148,10028,0.000,0.000
22:17:41.401 [MCH] 149,9972,0.000,0.000
22:17:41.401 [MCH] 150,10000,0.000,0.000
22:17:41.443 [MCH] 151,10000,0.000,0.000
22:17:41.444 [MCH] 152,10000,0.000,0.000
22:17:41.485 [MCH] 153,10000,0.000,0.000
22:17:41.486 [MCH] 154,10000,0.000,0.000
22:17:41.528 [MCH] 155,10000,0.000,0.000
22:17:41.529 [MCH] 156,10000,0.000,0.000
22:17:41.570 [MCH] 157,10000,0.000,0.000
22:17:41.571 [MCH] 158,10000,0.000,0.000
22:17:41.614 [MCH] 159,10000,0.000,0.000
22:17:41.657 [MCH] 160,10000,0.000,0.000
22:17:41.658 [MCH] 161,10000,0.000,0.000
22:17:41.659 [MCH] 162,10000,0.000,0.000
22:17:41.659 [MCH] 163,10000,0.000,0.000
22:17:41.699 [MCH] 164,10000,0.000,0.000
22:17:41.742 [MCH] 165,10026,0.000,0.000
22:17:41.742 [MCH] 166,9974,0.000,0.000
22:17:41.743 [MCH] 167,10000,0.000,0.000
22:17:41.783 [MCH] 168,10000,0.000,0.000
22:17:41.783 [MCH] 169,10000,0.000,0.000
22:17:41.826 [MCH] 170,10000,0.000,0.000
22:17:41.827 [MCH] 171,10000,0.000,0.000
22:17:41.869 [MCH] 172,10000,0.000,0.000
22:17:41.870 [MCH] 173,10000,0.000,0.000
22:17:41.910 [MCH] 174,10000,0.000,0.000
22:17:41.910 [MCH] 175,10000,0.000,0.000
22:17:41.953 [MCH] 176,10000,0.000,0.000
22:17:41.954 [MCH] 177,10000,0.000,0.000
22:17:41.998 [MCH] 178,10000,0.000,0.000
22:17:41.999 [MCH] 179,10000,0.000,0.000
22:17:42.000 [MCH] 180,10000,0.000,0.000
22:17:42.038 [MCH] 181,10000,0.000,0.000
22:17:42.038 [MCH] 182,10027,0.000,0.000
22:17:42.081 [MCH] 183,9973,0.000,0.000
22:17:42.082 [MCH] 184,10000,0.000,0.000
22:17:42.124 [MCH] 185,10000,0.000,0.000
22:17:42.124 [MCH] 186,10000,0.000,0.000
22:17:42.169 [MCH] 187,10000,0.000,0.000
