22:33:24.926 [MCH] --- CSV START ---
22:33:24.926 [MCH] Metadata,Voltage:0.5V,Duration:1000ms
22:33:24.926 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:33:30.646 [MCH] 4,9984,0.102,0.083
22:33:30.647 [MCH] 5,10000,0.132,0.112
22:33:30.685 [MCH] 6,10000,0.170,0.138
22:33:30.686 [MCH] 7,10000,0.207,0.160
22:33:30.687 [MCH] 8,10000,0.242,0.190
22:33:30.731 [MCH] 9,10000,0.276,0.213
22:33:30.731 [MCH] 10,10000,0.309,0.232
22:33:30.770 [MCH] 11,10000,0.346,0.258
22:33:30.771 [MCH] 12,10000,0.374,0.279
22:33:30.814 [MCH] 13,10000,0.400,0.303
22:33:30.814 [MCH] 14,10000,0.432,0.328
22:33:30.858 [MCH] 15,10000,0.455,0.352
22:33:30.859 [MCH] 16,10000,0.479,0.374
22:33:30.899 [MCH] 17,10000,0.507,0.401
22:33:30.899 [MCH] 18,10000,0.523,0.420
22:33:30.941 [MCH] 19,10000,0.540,0.446
22:33:30.942 [MCH] 20,10000,0.563,0.466
22:33:30.982 [MCH] 21,10000,0.581,0.487
22:33:30.983 [MCH] 22,10000,0.604,0.508
22:33:31.026 [MCH] 23,10000,0.626,0.521
22:33:31.027 [MCH] 24,10000,0.638,0.533
22:33:31.027 [MCH] 25,10000,0.649,0.545
22:33:31.067 [MCH] 26,10000,0.666,0.546
22:33:31.067 [MCH] 27,10000,0.675,0.555
22:33:31.113 [MCH] 28,10000,0.706,0.569
22:33:31.114 [MCH] 29,10000,0.710,0.575
22:33:31.154 [MCH] 30,10000,0.723,0.588
22:33:31.154 [MCH] 31,10000,0.729,0.603
22:33:31.198 [MCH] 32,10000,0.741,0.614
22:33:31.198 [MCH] 33,10000,0.746,0.620
22:33:31.237 [MCH] 34,10000,0.752,0.627
22:33:31.238 [MCH] 35,10000,0.774,0.637
22:33:31.283 [MCH] 36,10000,0.773,0.644
22:33:31.284 [MCH] 37,10000,0.790,0.645
22:33:31.323 [MCH] 38,10000,0.782,0.647
22:33:31.325 [MCH] 39,10000,0.810,0.653
22:33:31.367 [MCH] 40,10000,0.804,0.652
22:33:31.367 [MCH] 41,10000,0.820,0.657
22:33:31.408 [MCH] 42,10000,0.810,0.665
22:33:31.408 [MCH] 43,10000,0.816,0.680
22:33:31.408 [MCH] 44,10000,0.819,0.688
22:33:31.451 [MCH] 45,10000,0.830,0.695
22:33:31.451 [MCH] 46,10000,0.828,0.697
22:33:31.494 [MCH] 47,10000,0.825,0.696
22:33:31.495 [MCH] 48,10000,0.825,0.702
22:33:31.537 [MCH] 49,10000,0.842,0.710
22:33:31.537 [MCH] 50,10000,0.848,0.713
22:33:31.578 [MCH] 51,10000,0.848,0.715
22:33:31.578 [MCH] 52,10000,0.848,0.714
22:33:31.621 [MCH] 53,10000,0.849,0.719
22:33:31.621 [MCH] 54,10000,0.854,0.734
22:33:31.662 [MCH] 55,10000,0.853,0.743
22:33:31.662 [MCH] 56,10000,0.861,0.751
22:33:31.709 [MCH] 57,10000,0.856,0.750
22:33:31.709 [MCH] 58,10000,0.853,0.748
22:33:31.710 [MCH] 59,10000,0.850,0.749
22:33:31.749 [MCH] 60,10000,0.873,0.753
22:33:31.749 [MCH] 61,10000,0.871,0.759
22:33:31.793 [MCH] 62,10000,0.872,0.760
22:33:31.793 [MCH] 63,10000,0.863,0.761
22:33:31.835 [MCH] 64,10000,0.873,0.769
22:33:31.835 [MCH] 65,10000,0.878,0.776
22:33:31.875 [MCH] 66,10000,0.882,0.777
22:33:31.875 [MCH] 67,10000,0.873,0.775
22:33:31.920 [MCH] 68,10000,0.863,0.770
22:33:31.920 [MCH] 69,10000,0.870,0.765
22:33:31.961 [MCH] 70,10000,0.891,0.769
22:33:31.961 [MCH] 71,10000,0.887,0.767
22:33:32.003 [MCH] 72,10024,0.896,0.777
