I (15814) MCH: --- CSV START ---
I (15814) MCH: Metadata,Voltage:1.0V,Duration:1000ms
I (15814) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (25864) MCH: 23,10000,2.093,2.107
I (25864) MCH: 24,10000,2.098,2.111
I (25874) MCH: 25,10000,2.101,2.120
I (25874) MCH: 26,10000,2.098,2.123
I (25874) MCH: 27,10000,2.104,2.123
I (25884) MCH: 28,10000,2.109,2.123
I (25884) MCH: 29,10000,2.112,2.125
I (25884) MCH: 30,10000,2.113,2.121
I (25894) MCH: 31,10000,2.110,2.121
I (25894) MCH: 32,10000,2.111,2.120
I (25894) MCH: 33,10000,2.119,2.115
I (25904) MCH: 34,10000,2.119,2.113
I (25904) MCH: 35,10000,2.122,2.117
I (25904) MCH: 36,10000,2.118,2.115
I (25904) MCH: 37,10000,2.122,2.117
I (25914) MCH: 38,10000,2.123,2.114
I (25914) MCH: 39,10000,2.128,2.118
I (25914) MCH: 40,10000,2.121,2.119
I (25924) MCH: 41,10000,2.123,2.118
I (25924) MCH: 42,10000,2.119,2.117
I (25924) MCH: 43,10000,2.116,2.121
I (25934) MCH: 44,10000,2.115,2.124
I (25934) MCH: 45,10000,2.115,2.120
I (25934) MCH: 46,10000,2.112,2.118
I (25944) MCH: 47,10000,2.110,2.118
I (25944) MCH: 48,10000,2.110,2.121
I (25944) MCH: 49,10000,2.111,2.124
I (25954) MCH: 50,10000,2.105,2.124
I (25954) MCH: 51,10000,2.101,2.119
I (25954) MCH: 52,10000,2.100,2.120
I (25964) MCH: 53,10000,2.107,2.123
I (25964) MCH: 54,10000,2.108,2.127
I (25964) MCH: 55,10000,2.114,2.127
I (25974) MCH: 56,10000,2.109,2.128
I (25974) MCH: 57,10000,2.110,2.121
I (25974) MCH: 58,10000,2.116,2.126
I (25984) MCH: 59,10000,2.116,2.122
I (25984) MCH: 60,10000,2.119,2.129
I (25984) MCH: 61,10000,2.117,2.126
I (25994) MCH: 62,10000,2.123,2.120
I (25994) MCH: 63,10000,2.123,2.113
I (25994) MCH: 64,10000,2.123,2.114
I (25994) MCH: 65,10000,2.122,2.118
I (26004) MCH: 66,10003,2.123,2.117
I (26004) MCH: 67,9997,2.127,2.115
I (26004) MCH: 68,10000,2.121,2.111
I (26014) MCH: 69,10000,2.117,2.118
I (26014) MCH: 70,10000,2.117,2.117
I (26014) MCH: 71,10000,2.114,2.118
I (26024) MCH: 72,10000,2.111,2.116
I (26024) MCH: 73,10000,2.108,2.121
I (26024) MCH: 74,10000,2.113,2.120
I (26034) MCH: 75,10000,2.109,2.120
I (26034) MCH: 76,10000,2.109,2.117
I (26034) MCH: 77,10000,2.114,2.118
I (26044) MCH: 78,10000,2.112,2.122
I (26044) MCH: 79,10000,2.108,2.125
I (26044) MCH: 80,10000,2.108,2.126
I (26054) MCH: 81,10000,2.112,2.126
I (26054) MCH: 82,10000,2.113,2.125
I (26054) MCH: 83,10000,2.109,2.133
I (26064) MCH: 84,10000,2.112,2.127
I (26064) MCH: 85,10000,2.117,2.130
I (26064) MCH: 86,10000,2.116,2.126
I (26074) MCH: 87,10000,2.121,2.128
I (26074) MCH: 88,10000,2.124,2.129
I (26074) MCH: 89,10000,2.122,2.137
I (26074) MCH: 90,10000,2.117,2.134
I (26084) MCH: 91,10000,2.121,2.129
I (26084) MCH: 92,10000,2.122,2.124
I (26084) MCH: 93,10000,2.126,2.126
I (26094) MCH: 94,10000,2.120,2.125
I (26094) MCH: 95,10000,2.121,2.124
I (26094) MCH: 96,10000,2.119,2.126
I (26104) MCH: 97,10000,2.121,2.129
I (26104) MCH: 98,10000,2.122,2.131
I (26104) MCH: 99,10000,2.123,2.125
I (26114) MCH: --- CSV END ---
I (26114) MCH: Ready for next step: 3.0V. Send 'MPASS' to start.
I (26124) MCH: Ready for step 3/3 (3.0V). Send 'MPASS' to start or 'MABORT' to cancel.
I (34104) CMM: Header: 'M' -> Type: 4 | Clean Payload: 'PASS'
I (34224) MCH: Running step 3/3: Applying 3.0V for 1000 ms...
I (35274) MCH: --- CSV START ---
I (35274) MCH: Metadata,Voltage:3.0V,Duration:1000ms
I (35274) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (35274) MCH: 0,0,0.136,0.143
I (35274) MCH: 1,9937,0.458,0.474
I (35274) MCH: 2,10000,0.827,0.848
I (35284) MCH: 3,10000,1.194,1.224
I (35284) MCH: 4,10000,1.536,1.559
I (35284) MCH: 5,10000,1.827,1.849
I (35294) MCH: 6,10000,2.084,2.102
I (35294) MCH: 7,10000,2.296,2.310
I (35294) MCH: 8,10000,2.467,2.474
I (35294) MCH: 9,10000,2.604,2.611
I (35304) MCH: 10,10000,2.718,2.726
I (35304) MCH: 11,10000,2.819,2.816
I (35304) MCH: 12,10000,2.892,2.887
I (35314) MCH: 13,10000,2.948,2.956
I (35314) MCH: 14,10000,2.995,2.998
I (35314) MCH: 15,10000,3.028,3.034
I (35324) MCH: 16,10000,3.066,3.074
I (35324) MCH: 17,10000,3.089,3.102
I (35324) MCH: 18,10003,3.109,3.116
I (35334) MCH: 19,9999,3.126,3.131
I (35334) MCH: 20,9998,3.138,3.144
I (35334) MCH: 21,10000,3.148,3.155
I (35344) MCH: 22,10000,3.157,3.157
I (35344) MCH: 23,10000,3.166,3.164
I (35344) MCH: 24,10000,3.172,3.172
I (35354) MCH: 25,10000,3.175,3.174
I (35354) MCH: 26,10000,3.175,3.175
I (35354) MCH: 27,10000,3.182,3.180
I (35364) MCH: 28,10000,3.186,3.191
I (35364) MCH: 29,10000,3.190,3.183
I (35364) MCH: 30,10000,3.191,3.180
I (35374) MCH: 31,10000,3.193,3.188
I (35374) MCH: 32,10000,3.197,3.188
I (35374) MCH: 33,10000,3.199,3.187
I (35384) MCH: 34,10000,3.199,3.185
I (35384) MCH: 35,10000,3.192,3.182
I (35384) MCH: 36,10000,3.194,3.184
I (35384) MCH: 37,10000,3.187,3.185
I (35394) MCH: 38,10000,3.196,3.186
I (35394) MCH: 39,10000,3.199,3.186
I (35394) MCH: 40,10000,3.198,3.182
I (35404) MCH: 41,10000,3.196,3.178
I (35404) MCH: 42,10000,3.196,3.187
I (35404) MCH: 43,10000,3.199,3.186
I (35414) MCH: 44,10000,3.200,3.192
I (35414) MCH: 45,10000,3.199,3.194
I (35414) MCH: 46,10000,3.201,3.195
I (35424) MCH: 47,10002,3.199,3.200
