I (10234) MCH: --- CSV START ---
I (10234) MCH: Metadata,Voltage:1.0V,Duration:800ms
I (10234) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (10234) MCH: 44,10000,1.853,1.871
I (10234) MCH: 45,10000,1.859,1.887
I (10234) MCH: 46,10000,1.875,1.892
I (10234) MCH: 47,10000,1.880,1.904
I (10234) MCH: 48,10000,1.886,1.907
I (10234) MCH: 49,10000,1.897,1.920
I (10234) MCH: 50,10000,1.907,1.926
I (10234) MCH: 51,10000,1.916,1.939
I (10234) MCH: 52,10000,1.928,1.942
I (10234) MCH: 53,10000,1.933,1.949
I (10234) MCH: 54,10000,1.947,1.962
I (10234) MCH: 55,10000,1.946,1.967
I (10234) MCH: 56,10000,1.955,1.968
I (10234) MCH: 57,10000,1.964,1.968
I (10234) MCH: 58,10000,1.971,1.977
I (10234) MCH: 59,10000,1.977,1.989
I (10234) MCH: 60,10000,1.980,1.994
I (10234) MCH: 61,10000,1.988,1.998
I (10234) MCH: 62,10000,1.991,1.999
I (10234) MCH: 63,10000,2.000,2.004
I (10234) MCH: 64,10000,1.995,2.009
I (10234) MCH: 65,10000,1.998,2.010
I (10234) MCH: 66,10000,2.008,2.012
I (10234) MCH: 67,10000,2.013,2.021
I (10234) MCH: 68,10000,2.015,2.022
I (10234) MCH: 69,10000,2.015,2.027
I (10234) MCH: 70,10000,2.020,2.020
I (10234) MCH: 71,10000,2.020,2.030
I (10234) MCH: 72,10000,2.023,2.032
I (10234) MCH: 73,10000,2.033,2.036
I (10234) MCH: 74,10000,2.031,2.036
I (10234) MCH: 75,10000,2.033,2.043
I (10234) MCH: 76,10000,2.033,2.039
I (10234) MCH: 77,10000,2.034,2.047
I (10234) MCH: 78,10000,2.034,2.043
I (10234) MCH: 79,10000,2.046,2.047
I (10234) MCH: --- CSV END ---
I (10234) MCH: Ready for next step: 3.0V. Send 'MPASS' to start.
I (10234) MCH: Ready for step 3/12 (3.0V). Send 'PASS' to start or 'ABORT' to cancel.
I (10234) PAS:
I (10234) MCH: Running step 3/12: Applying 3.0V for 800 ms...
I (10234) MCH: --- CSV START ---
I (10234) MCH: Metadata,Voltage:3.0V,Duration:800ms
I (10234) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (10234) MCH: 0,0,0.032,0.031
I (10234) MCH: 1,9918,0.091,0.103
I (10234) MCH: 2,10003,0.164,0.193
I (10234) MCH: 3,9997,0.268,0.307
I (10234) MCH: 4,10000,0.377,0.440
I (10234) MCH: 5,10007,0.516,0.628
I (10234) MCH: 6,9993,0.705,0.747
I (10234) MCH: 7,10000,0.776,0.833
I (10234) MCH: 8,10000,0.851,0.914
I (10234) MCH: 9,10000,0.981,1.032
I (10234) MCH: 10,10000,1.047,1.099
I (10234) MCH: 11,10000,1.202,1.205
I (10234) MCH: 12,10000,1.263,1.311
I (10234) MCH: 13,10000,1.336,1.390
I (10234) MCH: 14,10000,1.410,1.461
I (10234) MCH: 15,10000,1.485,1.544
I (10234) MCH: 16,10000,1.569,1.610
I (10234) MCH: 17,10000,1.642,1.683
I (10234) MCH: 18,10000,1.704,1.750
I (10234) MCH: 19,10000,1.781,1.844
I (10234) MCH: 20,10000,1.838,1.890
I (10234) MCH: 21,10000,1.956,1.965
I (10234) MCH: 22,10000,1.987,2.008
I (10234) MCH: 23,10000,2.035,2.081
I (10234) MCH: 24,10000,2.084,2.119
I (10234) MCH: 25,10000,2.118,2.166
I (10234) MCH: 26,10000,2.163,2.209
I (10234) MCH: 27,10000,2.207,2.272
I (10234) MCH: 28,10000,2.249,2.309
I (10234) MCH: 29,10000,2.289,2.351
I (10234) MCH: 30,10000,2.332,2.384
I (10234) MCH: 31,10000,2.360,2.419
I (10234) MCH: 32,10000,2.408,2.453
I (10234) MCH: 33,10000,2.433,2.491
I (10234) MCH: 34,10000,2.468,2.519
I (10234) MCH: 35,10000,2.497,2.552
I (10234) MCH: 36,10000,2.528,2.588
I (10234) MCH: 37,10000,2.553,2.613
I (10234) MCH: 38,10000,2.573,2.631
I (10234) MCH: 39,10000,2.601,2.664
I (10234) MCH: 40,10000,2.640,2.693
I (10234) MCH: 41,10000,2.656,2.700
I (10234) MCH: 42,10000,2.693,2.722
I (10234) MCH: 43,10000,2.725,2.757
I (10234) MCH: 44,10000,2.732,2.774
I (10234) MCH: 45,10000,2.754,2.791
I (10234) MCH: 46,10000,2.783,2.831
I (10234) MCH: 47,10000,2.784,2.834
I (10234) MCH: 48,10000,2.815,2.846
I (10234) MCH: 49,10001,2.863,2.875
I (10234) MCH: 50,9999,2.847,2.881
I (10234) MCH: 51,10000,2.864,2.894
I (10234) MCH: 52,10000,2.904,2.918
I (10234) MCH: 53,10000,2.888,2.922
I (10234) MCH: 54,10000,2.904,2.928
I (10234) MCH: 55,10000,2.937,2.950
I (10234) MCH: 56,10000,2.928,2.956
I (10234) MCH: 57,10000,2.931,2.964
I (10234) MCH: 58,10000,2.941,2.994
I (10234) MCH: 59,10000,2.932,2.982
I (10234) MCH: 60,10000,2.948,2.985
I (10234) MCH: 61,10000,2.980,2.999
I (10234) MCH: 62,10000,2.965,3.002
I (10234) MCH: 63,10000,2.971,3.009
I (10234) MCH: 64,10000,2.977,3.034
I (10234) MCH: 65,10000,2.969,3.024
I (10234) MCH: 66,10000,2.973,3.013
I (10234) MCH: 67,10000,2.996,3.036
I (10234) MCH: 68,10000,2.995,3.038
I (10234) MCH: 69,10000,2.994,3.039
I (10234) MCH: 70,10000,3.001,3.053
I (10234) MCH: 71,10000,2.997,3.039
I (10234) MCH: 72,10000,2.996,3.041
I (10234) MCH: 73,10000,3.014,3.048
I (10234) MCH: 74,10000,3.014,3.045
I (10234) MCH: 75,10000,3.019,3.054
I (10234) MCH: 76,10000,3.025,3.070
I (10234) MCH: 77,10000,3.016,3.052
I (10234) MCH: 78,10000,3.028,3.061
I (10234) MCH: 79,10000,3.039,3.084
I (10234) MCH: --- CSV END ---
I (10234) MCH: Ready for next step: 4.0V. Send 'MPASS' to start.
I (10234) MCH: Ready for step 4/12 (4.0V). Send 'PASS' to start or 'ABORT' to cancel.
I (10234) PAS:
I (10234) MCH: Running step 4/12: Applying 4.0V for 800 ms...
I (10234) MCH: --- CSV START ---
I (10234) MCH: Metadata,Voltage:4.0V,Duration:800ms
I (10234) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (10234) MCH: 0,0,0.042,0.057
I (10234) MCH: 1,9925,0.151,0.173
I (10234) MCH: 2,9995,0.256,0.299
I (10234) MCH: 3,10000,0.457,0.502
I (10234) MCH: 4,10000,0.830,0.891
I (10234) MCH: 5,10000,1.267,1.311
I (10234) MCH: 6,10000,1.284,1.328
I (10234) MCH: 7,10000,1.331,1.449
I (10234) MCH: 8,10000,1.368,1.464
I (10234) MCH: 9,10000,1.495,1.530
I (10234) MCH: 10,10000,1.614,1.646
I (10234) MCH: 11,10000,1.680,1.702
I (10234) MCH: 12,10000,1.801,1.889
I (10234) MCH: 13,10000,1.837,1.918
I (10234) MCH: 14,10000,1.967,2.074
I (10234) MCH: 15,10000,2.013,2.116
I (10234) MCH: 16,10000,2.102,2.197
I (10234) MCH: 17,10000,2.178,2.271
I (10234) MCH: 18,10000,2.237,2.309
I (10234) MCH: 19,10000,2.302,2.412
I (10234) MCH: 20,10000,2.424,2.474
I (10234) MCH: 21,10000,2.477,2.575
I (10234) MCH: 22,10000,2.532,2.634
I (10234) MCH: 23,10000,2.620,2.687
I (10234) MCH: 24,10000,2.673,2.737
I (10234) MCH: 25,10000,2.742,2.816
I (10234) MCH: 26,10000,2.814,2.872
I (10234) MCH: 27,10000,2.865,2.921
I (10234) MCH: 28,10000,2.907,2.973
I (10234) MCH: 29,10000,2.999,3.034
I (10234) MCH: 30,10000,3.028,3.071
I (10234) MCH: 31,10000,3.082,3.137
I (10234) MCH: 32,10000,3.131,3.178
I (10234) MCH: 33,10000,3.174,3.218
I (10234) MCH: 34,10000,3.237,3.260
I (10234) MCH: 35,10000,3.270,3.294
I (10234) MCH: 36,9999,3.310,3.342
I (10234) MCH: 37,10001,3.350,3.377
I (10234) MCH: 38,10000,3.390,3.414
I (10234) MCH: 39,10000,3.426,3.452
I (10234) MCH: 40,10000,3.481,3.504
I (10234) MCH: 41,10000,3.507,3.524
I (10234) MCH: 42,10000,3.551,3.574
I (10234) MCH: 43,10000,3.571,3.599
I (10234) MCH: 44,10000,3.611,3.625
I (10234) MCH: 45,10000,3.650,3.668
